Timestamp,YEAR,DOY,Bartels_rotation_number,ID_for_IMF_spacecraft,ID_for_SW_Plasma_spacecraft,num_points_IMF_averages,num_points_Plasma_averages,Scalar_B_nT,Vector_B_Magnitude_nT,Lat_Angle_of_B_GSE,Long_Angle_of_B_GSE,BX_nT_GSE_GSM,BY_nT_GSE,BZ_nT_GSE,BY_nT_GSM,BZ_nT_GSM,RMS_magnitude_nT,RMS_field_vector_nT,RMS_BX_GSE_nT,RMS_BY_GSE_nT,RMS_BZ_GSE_nT,SW_Plasma_Temperature_K,SW_Proton_Density_N_cm3,SW_Plasma_Speed_km_s,SW_Plasma_flow_long_angle,SW_Plasma_flow_lat_angle,Alpha_Prot_ratio,sigma_T_K,sigma_n_N_cm3,sigma_V_km_s,sigma_phi_V_degrees,sigma_theta_V_degrees,sigma_ratio,Flow_pressure,E_electric_field,Plasma_Beta,Alfen_mach_number,Magnetosonic_Mach_number,Quasy_Invariant,Kp_index,R_Sunspot_No,Dst_index_nT,ap_index_nT,f10.7_index,AE_index_nT,AL_index_nT,AU_index_nT,pc_index,Lyman_alpha,Proton_flux_>1_Mev,Proton_flux_>2_Mev,Proton_flux_>4_Mev,Proton_flux_>10_Mev,Proton_flux_>30_Mev,Proton_flux_>60_Mev,Flux_FLAG
2016-07-25 00:00:00,2016,207,2496,51,52,61,37,9.8,9.0,-2.4,266.3,-0.6,-9.0,-0.4,-9.0,0.1,1.1,3.8,2.8,1.2,2.4,54049.0,14.5,434.0,0.9,0.6,0.042,10837.0,4.2,8.0,1.1,1.3,0.012,5.33,-0.09,1.15,8.4,6.0,0.0167,40,0,-10,27,75.9,450,-274,176,1.9,0.006437,999999.99,99999.99,99999.99,0.13,0.07,0.05,-1
2016-07-25 01:00:00,2016,207,2496,51,52,60,35,8.7,8.5,-30.5,305.0,4.2,-6.0,-4.3,-6.3,-3.9,0.4,1.8,1.1,1.1,0.9,43478.0,15.3,441.0,1.6,1.1,0.034,2726.0,2.1,4.0,0.6,0.6,0.008,5.64,1.63,1.45,9.9,6.6,0.0121,40,0,-18,27,75.9,552,-369,183,2.7,0.006437,999999.99,99999.99,99999.99,0.14,0.09,0.06,-1
2016-07-25 02:00:00,2016,207,2496,51,52,61,34,7.1,6.8,-31.7,331.9,5.1,-2.7,-3.6,-3.1,-3.3,0.8,2.0,0.6,1.7,0.7,33926.0,18.8,450.0,-0.6,1.0,0.095,6327.0,2.9,5.0,1.3,0.5,0.035,8.77,1.44,2.52,13.7,7.7,0.0063,40,0,-16,27,75.9,403,-229,174,2.3,0.006437,999999.99,99999.99,99999.99,0.14,0.08,0.06,-1
2016-07-25 03:00:00,2016,207,2496,51,52,60,36,7.4,7.3,-34.3,328.7,5.1,-3.1,-4.1,-3.6,-3.7,0.3,1.0,0.4,0.9,0.3,30173.0,9.7,452.0,-1.5,1.1,0.062,4551.0,2.7,2.0,0.3,0.3,0.021,4.13,1.58,1.17,9.5,6.7,0.0131,37,0,-24,22,75.9,455,-273,182,2.4,0.006437,999999.99,99999.99,99999.99,0.17,0.09,0.07,-1
2016-07-25 04:00:00,2016,207,2496,51,52,60,36,7.1,7.1,-37.6,322.7,4.5,-3.4,-4.3,-4.1,-3.7,0.2,0.8,0.5,0.4,0.4,26115.0,8.6,451.0,-1.7,0.5,0.06,2769.0,1.6,2.0,0.4,0.3,0.01,3.62,1.58,1.1,9.3,6.7,0.0137,37,0,-28,22,75.9,550,-337,213,3.2,0.006437,999999.99,99999.99,99999.99,0.14,0.09,0.07,-1
2016-07-25 05:00:00,2016,207,2496,51,52,59,34,7.1,7.1,-38.0,327.1,4.7,-3.0,-4.3,-3.9,-3.6,0.2,0.6,0.5,0.1,0.3,28285.0,6.9,445.0,-1.8,0.6,0.041,3079.0,1.4,3.0,0.2,0.2,0.01,2.66,1.51,0.89,8.2,6.2,0.0176,37,0,-31,22,75.9,653,-388,264,3.2,0.006437,999999.99,99999.99,99999.99,0.17,0.09,0.07,-1
2016-07-25 06:00:00,2016,207,2496,51,52,60,36,7.1,7.1,-40.3,331.1,4.7,-2.6,-4.6,-3.7,-3.8,0.3,0.5,0.3,0.3,0.3,28676.0,5.7,440.0,-1.1,0.3,0.041,3156.0,1.3,3.0,0.4,0.3,0.011,2.15,1.58,0.74,7.4,5.8,0.0217,30,0,-31,15,75.9,672,-434,239,3.1,0.006437,999999.99,99999.99,99999.99,0.14,0.08,0.06,-1
2016-07-25 07:00:00,2016,207,2496,51,52,59,36,7.0,7.0,-43.9,330.0,4.4,-2.5,-4.8,-3.8,-3.9,0.1,0.4,0.2,0.2,0.2,18627.0,6.3,438.0,-1.4,0.8,0.053,1278.0,0.7,2.0,0.3,0.2,0.012,2.45,1.62,0.79,7.9,6.1,0.0193,30,0,-33,15,75.9,619,-368,251,3.3,0.006437,999999.99,99999.99,99999.99,0.16,0.1,0.07,-1
2016-07-25 08:00:00,2016,207,2496,51,52,59,36,6.9,6.9,-47.8,339.6,4.4,-1.6,-5.1,-3.2,-4.3,0.1,0.6,0.2,0.5,0.3,15557.0,6.6,432.0,-0.8,1.3,0.08,978.0,0.8,3.0,0.4,0.2,0.007,2.72,1.81,0.83,8.0,6.1,0.0184,30,0,-35,15,75.9,575,-321,254,3.2,0.006437,999999.99,99999.99,99999.99,0.15,0.08,0.06,-1
2016-07-25 09:00:00,2016,207,2496,51,52,59,36,7.1,7.0,-55.5,347.7,3.9,-0.8,-5.8,-2.9,-5.1,0.1,0.9,0.3,0.8,0.3,16057.0,6.2,425.0,-1.1,0.8,0.063,1714.0,0.4,2.0,0.7,0.5,0.006,2.34,2.12,0.74,7.5,5.8,0.0214,30,0,-32,15,75.9,538,-265,273,3.2,0.006437,999999.99,99999.99,99999.99,0.17,0.08,0.06,-1
2016-07-25 10:00:00,2016,207,2496,51,52,61,35,7.1,7.1,-56.8,349.4,3.8,-0.7,-5.9,-2.9,-5.2,0.2,0.9,0.3,0.9,0.2,15491.0,4.6,434.0,0.2,2.0,0.051,1644.0,0.7,4.0,0.6,0.4,0.006,1.74,2.21,0.55,6.6,5.4,0.0277,30,0,-37,15,75.9,582,-326,257,3.9,0.006437,999999.99,99999.99,99999.99,0.16,0.09,0.07,-1
2016-07-25 11:00:00,2016,207,2496,51,52,63,38,5.9,5.8,-64.1,7.4,2.5,0.3,-5.2,-1.8,-4.9,0.5,1.1,0.7,0.7,0.4,35386.0,5.8,437.0,3.1,0.9,0.043,9455.0,0.7,11.0,1.1,0.6,0.009,2.17,2.14,1.14,8.9,6.3,0.015,30,0,-37,15,75.9,716,-601,115,3.3,0.006437,999999.99,99999.99,99999.99,0.16,0.08,0.06,-1
2016-07-25 12:00:00,2016,207,2496,51,52,60,37,5.1,4.9,-66.6,11.1,1.9,0.4,-4.5,-1.5,-4.3,0.4,1.1,0.7,0.7,0.5,58198.0,5.4,451.0,4.1,2.1,0.035,10075.0,0.7,2.0,0.4,0.5,0.005,2.09,1.94,1.61,10.3,6.6,0.0113,37,0,-38,22,75.9,700,-502,198,3.7,0.006437,999999.99,99999.99,99999.99,0.15,0.08,0.06,-1
2016-07-25 13:00:00,2016,207,2496,51,52,59,36,3.6,3.0,-62.6,29.3,1.2,0.7,-2.7,-0.4,-2.7,1.2,2.2,1.4,0.5,1.6,74424.0,6.0,457.0,3.5,2.8,0.037,12118.0,1.0,6.0,0.4,1.1,0.006,2.4,1.28,3.91,15.5,7.4,0.0049,37,0,-37,22,75.9,583,-372,210,2.6,0.006437,999999.99,99999.99,99999.99,0.15,0.09,0.06,-1
2016-07-25 14:00:00,2016,207,2496,51,52,60,35,2.8,1.6,-74.8,359.6,0.4,-0.0,-1.6,-0.6,-1.5,1.0,2.4,1.6,0.7,1.7,45622.0,10.0,446.0,3.1,1.6,0.034,6593.0,1.8,3.0,0.4,0.6,0.004,3.77,0.67,9.23,25.2,8.4,0.0019,37,0,-35,22,75.9,904,-630,274,2.6,0.006437,999999.99,99999.99,99999.99,0.15,0.09,0.06,-1
2016-07-25 15:00:00,2016,207,2496,51,52,58,36,2.0,0.9,23.2,159.9,-0.8,0.3,0.4,0.4,0.2,0.6,1.9,1.2,0.6,1.3,36368.0,11.4,439.0,2.8,0.7,0.034,6250.0,0.8,5.0,0.2,0.3,0.002,4.17,-0.13,19.53,37.1,8.8,0.0009,33,0,-32,18,75.9,380,-258,122,1.3,0.006437,999999.99,99999.99,99999.99,0.15,0.08,0.06,-1
2016-07-25 16:00:00,2016,207,2496,51,52,59,36,1.7,0.9,11.5,165.5,-0.9,0.2,0.2,0.3,0.1,0.5,1.5,0.9,0.5,1.1,33670.0,11.4,427.0,2.7,1.0,0.032,1683.0,0.4,2.0,0.3,0.3,0.003,3.92,-0.04,26.59,42.4,8.7,0.0007,33,0,-30,18,75.9,255,-163,92,2.2,0.006437,999999.99,99999.99,99999.99,0.15,0.08,0.06,-1
