CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-10T17:44:02","18 SPCS","STARLINK-30805","2023-170J","EARTH","TEME","UTC","SGP4","2024-05-10T13:03:59.806080","15.02537535","0.00028990","43.0080","226.3847","278.1214","81.9299","0","U","58214","999","2977","-0.00026920000000","-0.00003839","0.0000000000000","6937.212","95.838","561.088","557.066","PAYLOAD","LARGE","US","2023-11-03","AFETR","","4312738","256888979","0 STARLINK-30805","1 58214U 23170J   24131.54444220 -.00003839  00000-0 -26920-3 0  9996","2 58214  43.0080 226.3847 0002899 278.1214  81.9299 15.02537535 29771"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-11T02:49:57","18 SPCS","STARLINK-30805","2023-170J","EARTH","TEME","UTC","SGP4","2024-05-10T16:15:27.229536","15.02540313","0.00014720","43.0037","225.6614","276.8779","83.1896","0","U","58214","999","2979","-0.00009585500000","-0.00001498","0.0000000000000","6937.203","95.838","560.089","558.047","PAYLOAD","LARGE","US","2023-11-03","AFETR","","4313042","256923769","0 STARLINK-30805","1 58214U 23170J   24131.67739849 -.00001498  00000-0 -95855-4 0  9997","2 58214  43.0037 225.6614 0001472 276.8779  83.1896 15.02540313 29791"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-11T15:16:20","18 SPCS","STARLINK-30805","2023-170J","EARTH","TEME","UTC","SGP4","2024-05-11T12:59:51.084672","15.02629845","0.00018170","43.0032","220.9632","273.7119","86.3516","0","U","58214","999","2993","0.00198480000000","0.00026777","0.0000000000000","6936.928","95.832","560.053","557.532","PAYLOAD","LARGE","US","2023-11-03","AFETR","","4313786","256943881","0 STARLINK-30805","1 58214U 23170J   24132.54156348  .00026777  00000-0  19848-2 0  9992","2 58214  43.0032 220.9632 0001817 273.7119  86.3516 15.02629845 29939"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-11T23:16:21","18 SPCS","STARLINK-30805","2023-170J","EARTH","TEME","UTC","SGP4","2024-05-11T16:11:19.496544","15.02584325","0.00010090","42.9948","220.2390","126.5028","233.5907","0","U","58214","999","2995","0.00097629000000","0.00013026","0.0000000000000","6937.068","95.835","559.633","558.233","PAYLOAD","LARGE","US","2023-11-03","AFETR","","4314264","256954507","0 STARLINK-30805","1 58214U 23170J   24132.67453121  .00013026  00000-0  97629-3 0  9992","2 58214  42.9948 220.2390 0001009 126.5028 233.5907 15.02584325 29959"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-12T02:39:03","18 SPCS","STARLINK-30805","2023-170J","EARTH","TEME","UTC","SGP4","2024-05-11T22:34:15.261024","15.02532482","0.00013330","43.0030","218.7983","282.7228","77.3466","0","U","58214","999","2998","-0.00055044000000","-0.00007630","0.0000000000000","6937.227","95.838","560.017","558.168","PAYLOAD","LARGE","US","2023-11-03","AFETR","","4314338","256983188","0 STARLINK-30805","1 58214U 23170J   24132.94045441 -.00007630  00000-0 -55044-3 0  9995","2 58214  43.0030 218.7983 0001333 282.7228  77.3466 15.02532482 29984"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-12T07:16:17","18 SPCS","STARLINK-30805","2023-170J","EARTH","TEME","UTC","SGP4","2024-05-12T04:57:11.961216","15.02461934","0.00017270","43.0029","217.3536","266.9256","93.1389","0","U","58214","999","3003","-0.00261250000000","-0.00035249","0.0000000000000","6937.445","95.843","560.508","558.111","PAYLOAD","LARGE","US","2023-11-03","AFETR","","4314757","256994498","0 STARLINK-30805","1 58214U 23170J   24133.20638844 -.00035249  00000-0 -26125-2 0  9994","2 58214  43.0029 217.3536 0001727 266.9256  93.1389 15.02461934 30034"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-12T15:06:22","18 SPCS","STARLINK-30805","2023-170J","EARTH","TEME","UTC","SGP4","2024-05-12T12:55:54.654528","15.02404928","0.00030300","43.0015","215.5469","288.5337","71.5176","0","U","58214","999","3008","-0.00273360000000","-0.00036813","0.0000000000000","6937.620","95.846","561.587","557.383","PAYLOAD","LARGE","US","2023-11-03","AFETR","","4315080","257003983","0 STARLINK-30805","1 58214U 23170J   24133.53882702 -.00036813  00000-0 -27336-2 0  9997","2 58214  43.0015 215.5469 0003030 288.5337  71.5176 15.02404928 30082"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-12T20:03:42","18 SPCS","STARLINK-30805","2023-170J","EARTH","TEME","UTC","SGP4","2024-05-12T14:31:37.565760","15.02442137","0.00004680","43.0016","215.1852","289.3035","70.7756","0","U","58214","999","3008","-0.00188350000000","-0.00025490","0.0000000000000","6937.505","95.844","559.695","559.046","PAYLOAD","LARGE","US","2023-11-03","AFETR","","4315151","257031080","0 STARLINK-30805","1 58214U 23170J   24133.60529590 -.00025490  00000-0 -18835-2 0  9991","2 58214  43.0016 215.1852 0000468 289.3035  70.7756 15.02442137 30080"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-12T23:06:18","18 SPCS","STARLINK-30805","2023-170J","EARTH","TEME","UTC","SGP4","2024-05-12T14:31:37.565760","15.02442137","0.00004680","43.0016","215.1852","289.3035","70.7756","0","U","58214","999","3009","-0.00188350000000","-0.00025490","0.0000000000000","6937.505","95.844","559.695","559.046","PAYLOAD","LARGE","US","2023-11-03","AFETR","","4315515","257041324","0 STARLINK-30805","1 58214U 23170J   24133.60529590 -.00025490  00000-0 -18835-2 0  9991","2 58214  43.0016 215.1852 0000468 289.3035  70.7756 15.02442137 30091"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-13T02:56:06","18 SPCS","STARLINK-30805","2023-170J","EARTH","TEME","UTC","SGP4","2024-05-12T22:30:13.572576","15.02522177","0.00020960","43.0065","213.3803","276.6734","83.3870","0","U","58214","999","3013","0.00003532600000","0.00000273","0.0000000000000","6937.259","95.839","560.578","557.670","PAYLOAD","LARGE","US","2023-11-03","AFETR","","4315518","257068250","0 STARLINK-30805","1 58214U 23170J   24133.93765709  .00000273  00000-0  35326-4 0  9997","2 58214  43.0065 213.3803 0002096 276.6734  83.3870 15.02522177 30130"
