CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-10T14:56:17","18 SPCS","STARLINK-31052","2023-200M","EARTH","TEME","UTC","SGP4","2024-05-10T10:55:35.480064","15.02552867","0.00011830","43.0005","201.3285","260.8094","99.2615","0","U","58600","999","2309","-0.00015923000000","-0.00002355","0.0000000000000","6937.165","95.837","559.850","558.209","PAYLOAD","LARGE","US","2023-12-19","AFETR","","4312642","256859450","0 STARLINK-31052","1 58600U 23200M   24131.45527176 -.00002355  00000-0 -15923-3 0  9994","2 58600  43.0005 201.3285 0001183 260.8094  99.2615 15.02552867 23093"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-10T17:44:02","18 SPCS","STARLINK-31052","2023-200M","EARTH","TEME","UTC","SGP4","2024-05-10T12:31:19.120512","15.02553228","0.00011410","42.9999","200.9670","264.7811","95.2902","0","U","58600","999","2308","-0.00013048000000","-0.00001966","0.0000000000000","6937.164","95.837","559.820","558.237","PAYLOAD","LARGE","US","2023-12-19","AFETR","","4312738","256889165","0 STARLINK-31052","1 58600U 23200M   24131.52174908 -.00001966  00000-0 -13048-3 0  9996","2 58600  42.9999 200.9670 0001141 264.7811  95.2902 15.02553228 23086"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-11T06:56:20","18 SPCS","STARLINK-31052","2023-200M","EARTH","TEME","UTC","SGP4","2024-05-11T04:28:34.192704","15.02575390","0.00017010","43.0006","197.3553","267.2747","92.7901","0","U","58600","999","2320","0.00052740000000","0.00006935","0.0000000000000","6937.095","95.835","560.140","557.780","PAYLOAD","LARGE","US","2023-12-19","AFETR","","4313274","256931523","0 STARLINK-31052","1 58600U 23200M   24132.18650686  .00006935  00000-0  52740-3 0  9992","2 58600  43.0006 197.3553 0001701 267.2747  92.7901 15.02575390 23203"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-11T15:06:23","18 SPCS","STARLINK-31052","2023-200M","EARTH","TEME","UTC","SGP4","2024-05-11T10:51:28.125504","15.02609201","0.00013210","42.9999","195.9096","266.0788","93.9904","0","U","58600","999","2324","0.00141720000000","0.00019030","0.0000000000000","6936.991","95.833","559.773","557.940","PAYLOAD","LARGE","US","2023-12-19","AFETR","","4313706","256941582","0 STARLINK-31052","1 58600U 23200M   24132.45240886  .00019030  00000-0  14172-2 0  9995","2 58600  42.9999 195.9096 0001321 266.0788  93.9904 15.02609201 23247"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-12T02:39:03","18 SPCS","STARLINK-31052","2023-200M","EARTH","TEME","UTC","SGP4","2024-05-11T20:25:49.758240","15.02578617","0.00039470","43.0075","193.7430","271.7087","88.3303","0","U","58600","999","2328","0.00060790000000","0.00008027","0.0000000000000","6937.085","95.835","561.688","556.212","PAYLOAD","LARGE","US","2023-12-19","AFETR","","4314338","256983374","0 STARLINK-31052","1 58600U 23200M   24132.85127035  .00008027  00000-0  60790-3 0  9991","2 58600  43.0075 193.7430 0003947 271.7087  88.3303 15.02578617 23284"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-11T23:06:17","18 SPCS","STARLINK-31052","2023-200M","EARTH","TEME","UTC","SGP4","2024-05-11T20:25:49.758240","15.02578617","0.00039470","43.0075","193.7430","271.7087","88.3303","0","U","58600","999","2330","0.00060790000000","0.00008027","0.0000000000000","6937.085","95.835","561.688","556.212","PAYLOAD","LARGE","US","2023-12-19","AFETR","","4314143","256952452","0 STARLINK-31052","1 58600U 23200M   24132.85127035  .00008027  00000-0  60790-3 0  9991","2 58600  43.0075 193.7430 0003947 271.7087  88.3303 15.02578617 23307"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-12T07:06:18","18 SPCS","STARLINK-31052","2023-200M","EARTH","TEME","UTC","SGP4","2024-05-12T04:24:31.419936","15.02481701","0.00021440","42.9998","191.9340","201.1151","158.9603","0","U","58600","999","2335","-0.00213400000000","-0.00028872","0.0000000000000","6937.384","95.841","560.736","557.761","PAYLOAD","LARGE","US","2023-12-19","AFETR","","4314668","256992436","0 STARLINK-31052","1 58600U 23200M   24133.18369699 -.00028872  00000-0 -21340-2 0  9991","2 58600  42.9998 191.9340 0002144 201.1151 158.9603 15.02481701 23355"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-12T20:03:42","18 SPCS","STARLINK-31052","2023-200M","EARTH","TEME","UTC","SGP4","2024-05-12T12:23:11.654304","15.02506644","0.00026020","43.0002","190.1294","250.8476","109.2084","0","U","58600","999","2338","-0.00006384500000","-0.00001066","0.0000000000000","6937.307","95.840","560.977","557.367","PAYLOAD","LARGE","US","2023-12-19","AFETR","","4315151","257031266","0 STARLINK-31052","1 58600U 23200M   24133.51610711 -.00001066  00000-0 -63845-4 0  9996","2 58600  43.0002 190.1294 0002602 250.8476 109.2084 15.02506644 23381"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-12T14:56:18","18 SPCS","STARLINK-31052","2023-200M","EARTH","TEME","UTC","SGP4","2024-05-12T12:23:11.654304","15.02506644","0.00026020","43.0002","190.1294","250.8476","109.2084","0","U","58600","999","2340","-0.00006384500000","-0.00001066","0.0000000000000","6937.307","95.840","560.977","557.367","PAYLOAD","LARGE","US","2023-12-19","AFETR","","4315027","257002102","0 STARLINK-31052","1 58600U 23200M   24133.51610711 -.00001066  00000-0 -63845-4 0  9996","2 58600  43.0002 190.1294 0002602 250.8476 109.2084 15.02506644 23404"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2024-05-13T02:56:06","18 SPCS","STARLINK-31052","2023-200M","EARTH","TEME","UTC","SGP4","2024-05-12T20:21:51.124032","15.02501934","0.00025510","43.0008","188.3251","257.0542","103.0015","0","U","58600","999","2343","0.00029154000000","0.00003733","0.0000000000000","6937.321","95.840","560.956","557.417","PAYLOAD","LARGE","US","2023-12-19","AFETR","","4315518","257068436","0 STARLINK-31052","1 58600U 23200M   24133.84850838  .00003733  00000-0  29154-3 0  9993","2 58600  43.0008 188.3251 0002551 257.0542 103.0015 15.02501934 23434"
