"Carson Beach, South Boston: Bacterial Water Quality",,,,,,,
,,,,I Street,,McCormack Bathhouse,
Date,1-Day Rain,2-Day Rain,3-Day Rain,Tag,Enterococcus,Tag,Enterococcus
"August 27, 2024",0,0,0,,61,,41
"August 20, 2024",0.01,0.12,0.15,<,10,<,10
"August 13, 2024",0.00,0.00,0.00,,41,,10
"August 7, 2024",0.21,0.82,0.82,,20,,52
"July 31, 2024",0.20,0.20,0.23,,10,,
"July 30, 2024",0.00,0.03,0.03,,1010,<,10
"July 23, 2024",0.01,0.02,0.02,,20,,20
"July 16, 2024",0.00,0.04,0.04,,10,<,10
"July 9, 2024",0.00,0.00,0.00,<,10,<,10
"July 1, 2024",0.16,0.18,0.18,<,10,<,10
"June 26, 2024",1.97,1.97,2.07,,20,<,10
"June 18, 2024",0.00,0.00,0.00,<,10,<,10
"June 11, 2024",0.00,0.00,0.23,<,10,<,10
"June 4, 2024",0.00,0.00,0.00,<,10,<,10
"May 29, 2024",0.00,0.14,0.40,<,10,,
"May 28, 2024",0.14,0.40,0.52,,602,,20
"May 22, 2024",0.00,0.00,0.00,,20,,
"May 21, 2024",0.00,0.00,0.08,,373,<,10
"August 31, 2023",0.00,0.54,0.83,,,<,10
"August 29, 2023",0.29,0.29,0.29,,41,,220
"August 22, 2023",0.00,0.28,0.28,,10,<,10
"August 15, 2023",0.64,0.64,0.79,,20,,52
"August 8, 2023",1.33,1.33,1.33,,20,,10
"August 1, 2023",0,0,0,,10,,41
"July 27, 2023",0.23,0.23,1.11,<,10,,
"July 25, 2023",0.88,0.88,0.88,,120,,20
"July 18, 2023",0,0,1.6,<,10,<,10
"July 11, 2023",0,0.71,0.71,<,10,<,10
"July 5, 2023",0,0.47,1.46,<,10,<,10
"June 27, 2023",0.55,0.55,0.57,<,10,<,10
"June 20, 2023",0,0,0.04,<,10,<,10
"June 13, 2023",0.01,0.35,0.35,,40,,10
"June 8, 2023",0.01,0.01,0.01,,,<,10
"June 6, 2023",0,0.07,0.17,,50,,360
"May 30, 2023",0,0,0,<,10,<,10
"September 1, 2022",0,0.33,0.33,<,2,,8
"August 25, 2022",0,0,0.02,,7,,21
"August 18, 2022",0,0.01,0.01,,2,,2
"August 11, 2022",0,0,0.14,,90,,56
"August 4, 2022",0,0,0,,2,,20
"July 28, 2022",0.04,0.04,0.04,,2,,60
"July 21, 2022",0,0,0.02,,4,,3
"July 14, 2022",0.16,0.16,0.17,,4,,3
"July 7, 2022",0.00,0.01,0.05,<,2,,2
"June 30, 2022",0.00,0.00,0.00,,2,<,2
"June 23, 2022",0.00,0.00,0.00,<,2,,10
"June 16, 2022",0.00,0.00,0.00,,2,,2
"June 9, 2022",0.85,1.08,1.08,<,2,,54
"June 2, 2022",0.10,0.19,0.19,<,2,<,2
"May 26, 2022",0.00,0.00,0.00,<,2,,2
"September 4, 2021",0.00,0.00,2.54,,6,<,2
"September 3, 2021",0.00,2.54,4.23,,56,,146
"August 26, 2021",0.00,0.00,0.00,,30,,15
"August 19, 2021",1.14,1.14,1.14,,3,,79
"August 12, 2021",0.00,0.00,0.03,,23,,20
"August 5, 2021",1.42,2.00,2.00,,3,,6
"July 29, 2021",0.01,0.01,0.39,,2,,4
"July 22, 2021",0,0,0,<,2,,14
"July 15, 2021",0,0,0.01,,16,,23
"July 12, 2021",1.21,1.24,1.29,,43,,44
"July 10, 2021",0.05,2.09,2.39,,119,,124
"July 8, 2021",0.3,0.33,0.62,,2,,2
"July 2, 2021",1.67,2.95,3.11,,15,,4
"July 1, 2021",1.28,1.44,1.44,,7,<,2
"June 24, 2021",0,0,0.91,<,2,<,2
"June 17, 2021",0,0,0.01,<,2,,4
"June 10, 2021",0,0.05,0.05,<,2,<,2
"June 3, 2021",0,0,0,,6,<,2
"May 27, 2021",0.01,0.29,0.29,<,2,<,2
"September 3, 2020",0.01,0.21,0.21,<,2,,2
"August 27, 2020",0.18,0.18,0.18,<,2,,4
"August 20, 2020",0,0.06,0.22,,2,,7
"August 13, 2020",0,0,0,<,2,,8
"August 6, 2020",0,0,0.17,,60,,17
"July 30, 2020",0,0,0,,2,,2
"July 23, 2020",0.57,0.68,0.68,,20,,3
"July 16, 2020",0,0.07,0.69,<,2,<,2
"July 9, 2020",0,0,0,,2,,12
"July 2, 2020",0,0.07,0.25,<,2,<,2
"June 25, 2020",0,0.01,0.01,<,2,<,2
"June 18, 2020",0,0,0,<,2,<,2
"June 11, 2020",0.74,0.74,0.74,,7,<,2
"June 4, 2020",0,0.01,0.03,,2,<,2
"May 28, 2020",0,0,0,<,2,<,2
"May 20, 2020",0,0,0,<,2,<,2
"August 29, 2019",0.3,0.95,0.95,,2,,27
"August 22, 2019",0,0.08,0.08,,10,,2
"August 15, 2019",0,0,0,,10,,68
"August 8, 2019",0.38,2.28,2.28,,2,<,2
"August 1, 2019",0,1.25,1.25,<,2,,2
"July 25, 2019",0,0,1.03,<,2,,2
"July 18, 2019",0.04,0.47,0.47,,12,,2
"July 11, 2019",0.02,0.02,0.02,,2,,35
"July 2, 2019",0,0,0.16,,2,<,2
"June 27, 2019",0,0,0.13,,13,,5
"June 20, 2019",0.37,0.37,0.47,,3,,4
"June 13, 2019",0.63,0.63,1.16,,2,,14
"June 6, 2019",0.01,0.06,0.06,,2,,4
"May 30, 2019",0.23,0.23,0.53,,24,,41
"May 23, 2019",0.12,0.12,0.12,,6,<,2
"August 30, 2018",0,0,0,,4,,2
"August 23, 2018",0,0.5,0.5,,2,,2
"August 16, 2018",0,0,0.01,,12,,8
"August 9, 2018",0.06,1.04,1.04,,331,,7
"August 2, 2018",0,0,0,<,2,,2
"July 26, 2018",0.6,0.74,0.74,<,2,,6
"July 19, 2018",0,0.06,2.74,,2,,2
"July 18, 2018",0.06,2.74,2.74,,4,,4
"July 13, 2018",0,0,0.19,,12,,
"July 12, 2018",0,0.19,0.19,,118,,2
"July 5, 2018",0,0,0.01,<,2,,2
"June 28, 2018",1.16,1.25,1.25,,12,,2
"June 21, 2018",0,0,0.01,,2,,
"June 14, 2018",0,0,0,,8,<,2
"June 7, 2018",0,0,0.34,,2,<,2
"May 31, 2018",0,0,0,<,2,<,2
"May 24, 2018",0,0.02,0.05,,2,,15
"August 31, 2017",0,0.07,0.07,,4,,8
"August 24, 2017",0,0.04,0.04,<,2,,18
"August 17, 2017",0,0,0,,5,<,2
"August 10, 2017",0,0,0,<,2,,28
"August 3, 2017",0,0.96,0.96,,43,,3
"July 27, 2017",0.04,0.04,0.05,,3,,2
"July 20, 2017",0,0,0.12,,8,,2
"July 13, 2017",0.14,1.47,1.64,<,2,,30
"July 6, 2017",0,0,0,<,2,<,2
"June 29, 2017",0,0,0.08,,8,,18
"June 22, 2017",0,0,0.13,,2,<,2
"June 15, 2017",0,0,0.53,<,2,,3
"June 8, 2017",0,0.04,0.84,<,2,<,2
"June 1, 2017",0.16,0.22,0.22,,2,,15
"May 25, 2017",0.63,0.63,0.63,,35,,10
"September 1, 2016",0.02,0.02,0.02,,5,,6
"August 25, 2016",0,0,0,,4,<,2
"August 18, 2016",0,0,0,,2,,2
"August 11, 2016",0,0.23,0.23,,4,<,2
"August 4, 2016",0,0,0.04,,2,,5
"July 28, 2016",0,0,0,,10,,14
"July 21, 2016",0,0,0,,25,,7
"July 14, 2016",0,0,0,<,2,,5
"July 7, 2016",0,0,0.23,,4,,8
"June 30, 2016",0,0.03,0.11,,32,,35
"June 23, 2016",0,0,0.02,,12,,5
"June 16, 2016",0,0,0,,2,,8
"June 9, 2016",0,0,0.15,<,2,<,2
"June 2, 2016",0,0,0,<,2,,2
"May 26, 2016",0,0,0.26,<,2,<,2
"September 3, 2015",0.01,0.01,0.01,,8,,2
"August 27, 2015",0,0,0,<,2,,2
"August 20, 2015",0,0,0.14,,6,,11
"August 13, 2015",0,0,0.83,,3,,4
"August 6, 2015",0,0,0.49,,2,,20
"July 30, 2015",0.02,0.02,0.02,,4,,2
"July 23, 2015",0,0,0,<,2,,4
"July 16, 2015",0,0,0.03,,2,,2
"July 9, 2015",0.15,0.15,0.17,<,2,,2
"July 2, 2015",0,0.54,0.54,,2,<,2
"June 25, 2015",0,0,0.01,<,2,,10
"June 18, 2015",0,0,0,<,2,<,2
"June 12, 2015",0,0,0,,13,<,2
"June 11, 2015",0,0,0,,111,,2
"June 4, 2015",0,0,0.74,,2,,6
"May 28, 2015",0,0,0,<,2,<,2
"May 21, 2015",0,0,0.27,<,2,<,2
"August 28, 2014",0,0.02,0.02,,2,<,2
"August 21, 2014",0,0,0,,18,,22
"August 14, 2014",0,1.06,1.06,,4,<,2
"August 7, 2014",0.01,0.02,0.02,,87,,4
"July 31, 2014",0,0,0,<,2,<,2
"July 24, 2014",0,0,0,<,2,,8
"July 17, 2014",0,0.85,0.85,,17,,33
"July 10, 2014",0,0,0,,5,,2
"July 5, 2014",0.35,2.23,2.51,,13,,6
"July 2, 2014",0,0,0,,2,,2
"June 26, 2014",0.28,0.28,0.28,<,2,<,2
"June 19, 2014",0,0,0.02,,2,,4
"June 12, 2014",0,0,0.85,<,2,,5
"June 5, 2014",0.78,0.92,0.92,,2,<,2
"May 29, 2014",0,0.08,0.56,,4,<,2
"May 22, 2014",0.25,0.25,0.25,<,2,,4
"August 30, 2013",0,0,0,,2,,2
"August 29, 2013",0,0,0.01,<,2,,2
"August 28, 2013",0,0.01,0.02,,52,,41
"August 27, 2013",0.01,0.02,0.02,,10,,10
"August 26, 2013",0.01,0.01,0.01,,20,,10
"August 25, 2013",0,0,0,,2,,4
"August 24, 2013",0,0,0,,17,,12
"August 23, 2013",0,0,0,,4,<,2
"August 22, 2013",0,0,0,,10,,2
"August 21, 2013",0,0,0,,12,,40
"August 20, 2013",0,0,0,<,10,,10
"August 19, 2013",0,0,0,<,10,,41
"August 18, 2013",0,0,0,<,10,<,10
"August 17, 2013",0,0,0,<,10,,41
"August 16, 2013",0,0,0,<,2,<,2
"August 15, 2013",0,0,0,<,2,<,2
"August 14, 2013",0,0,0,<,10,<,10
"August 13, 2013",0,0,0,,63,<,10
"August 12, 2013",0,0,0,<,2,<,2
"August 11, 2013",0,0,1.62,,4,,2
"August 10, 2013",0,1.62,1.69,<,2,,2
"August 9, 2013",1.62,1.69,1.69,,10,,8
"August 8, 2013",0.07,0.07,0.07,,17,,54
"August 7, 2013",0,0,0,<,2,<,2
"August 6, 2013",0,0,0,,20,<,10
"August 5, 2013",0,0,0,,20,<,10
"August 4, 2013",0,0,0.13,<,10,<,10
"August 3, 2013",0,0.13,0.13,,31,,30
"August 2, 2013",0.13,0.13,0.13,,13,,18
"August 1, 2013",0,0,0,,8,,12
"July 31, 2013",0,0,0.33,,20,<,10
"July 30, 2013",0,0.33,0.34,<,10,,30
"July 29, 2013",0.33,0.34,0.34,,20,,10
"July 28, 2013",0.01,0.01,1.01,,20,,10
"July 27, 2013",0,1,1.27,,51,<,10
"July 26, 2013",1,1.27,1.27,,4,,51
"July 25, 2013",0.27,0.27,2.03,<,2,<,2
"July 24, 2013",0,1.76,1.76,,15,,2
"July 23, 2013",1.76,1.76,1.77,<,2,,8
"July 22, 2013",0,0.01,0.01,<,10,,10
"July 21, 2013",0.01,0.01,0.01,,10,,30
"July 20, 2013",0,0,0,,10,<,10
"July 19, 2013",0,0,0,,7,,18
"July 18, 2013",0,0,0.01,<,2,,8
"July 17, 2013",0,0.01,0.01,<,10,,20
"July 16, 2013",0.01,0.01,0.01,<,10,<,10
"July 15, 2013",0,0,0,<,10,,30
"July 14, 2013",0,0,0,,10,,97
"July 13, 2013",0,0,0.17,,2,,7
"July 12, 2013",0,0.17,0.18,,4,<,2
"July 11, 2013",0.17,0.18,0.18,,2,,10
"July 10, 2013",0.01,0.01,0.02,<,2,,43
"July 9, 2013",0,0.01,0.01,,2,,10
"July 8, 2013",0.01,0.01,0.01,<,2,,28
"July 7, 2013",0,0,0,<,10,<,10
"July 6, 2013",0,0,0,<,10,<,10
"July 5, 2013",0,0,0,<,2,<,2
"July 3, 2013",0,0,0.03,,6,,17
"July 2, 2013",0,0.03,0.14,,2,<,2
"July 1, 2013",0.03,0.14,0.21,,41,<,10
"June 30, 2013",0.11,0.18,0.63,,10,<,10
"June 29, 2013",0.07,0.52,0.55,,121,,31
"June 28, 2013",0.45,0.48,0.52,,24,,81
"June 27, 2013",0.03,0.07,0.07,,52,,269
"June 26, 2013",0.04,0.04,0.37,,4,,2
"June 25, 2013",0,0.33,0.33,,60,<,2
"June 24, 2013",0.33,0.33,0.33,,2,,4
"June 23, 2013",0,0,0,<,10,,20
"June 22, 2013",0,0,0,<,10,<,10
"June 21, 2013",0,0,0,,2,<,2
"June 20, 2013",0,0,0.63,,14,<,2
"June 15, 2013",0,1.02,1.74,,20,,2
"June 14, 2013",1.02,1.74,1.81,,35,,23
"June 13, 2013",0.72,0.79,2.17,,4,<,2
"June 9, 2013",0,0.54,3.61,,8,,2
"June 8, 2013",0.54,3.61,3.63,,13,,14
"June 6, 2013",0.02,0.02,0.02,<,2,<,2
"May 30, 2013",0,0.84,0.84,,2,<,2
"May 23, 2013",0.05,0.1,0.11,,6,<,2
"August 31, 2012",0,0,0,<,2,<,2
"August 30, 2012",0,0,0.15,<,2,,2
"August 29, 2012",0,0.15,0.15,<,10,<,10
"August 28, 2012",0.15,0.15,0.15,,10,,20
"August 27, 2012",0,0,0,,10,,10
"August 26, 2012",0,0,0,<,10,,10
"August 25, 2012",0,0,0,<,10,<,10
"August 24, 2012",0,0,0,,2,,4
"August 23, 2012",0,0,0,,8,,10
"August 22, 2012",0,0,0,<,10,,10
"August 21, 2012",0,0,0,,31,<,10
"August 20, 2012",0,0,0.04,<,10,,10
"August 19, 2012",0,0.04,0.04,,2,,6
"August 18, 2012",0.04,0.04,0.04,,2,,122
"August 17, 2012",0,0,0.83,,6,,12
"August 16, 2012",0,0.83,0.83,,32,,12
"August 15, 2012",0.83,0.83,0.83,,20,,74
"August 14, 2012",0,0,0.01,<,10,,41
"August 13, 2012",0,0.01,0.01,,10,<,10
"August 12, 2012",0.01,0.01,1.18,,10,,
"August 11, 2012",0,1.17,1.17,<,10,,30
"August 10, 2012",1.17,1.17,1.17,,13,,18
"August 9, 2012",0,0,0,,140,,8
"August 8, 2012",0,0,0,<,10,,10
"August 7, 2012",0,0,0.08,<,10,<,10
"August 6, 2012",0,0.08,0.08,<,10,<,10
"August 5, 2012",0.08,0.08,0.08,<,10,,41
"August 4, 2012",0,0,0,<,10,<,10
"August 3, 2012",0,0,0.8,<,2,<,2
"August 2, 2012",0,0.8,1.28,<,2,,27
"August 1, 2012",0.8,1.28,1.28,<,2,<,2
"July 31, 2012",0.48,0.48,0.48,,10,,10
"July 30, 2012",0,0,0.87,<,10,,10
"July 29, 2012",0,0.87,0.89,<,10,,10
"July 28, 2012",0.87,0.89,0.89,<,10,<,10
"July 27, 2012",0.02,0.02,0.02,,2,,4
"July 26, 2012",0,0,0.55,<,2,,4
"July 25, 2012",0,0.55,0.57,<,10,<,10
"July 24, 2012",0.55,0.57,0.57,<,10,,10
"July 23, 2012",0.02,0.02,0.02,<,10,<,10
"July 22, 2012",0,0,0,<,10,<,10
"July 21, 2012",0,0,0.06,<,2,<,2
"July 20, 2012",0,0.06,1.8,<,2,<,2
"July 19, 2012",0.06,1.8,1.8,,2,,2
"July 18, 2012",1.74,1.74,1.74,,2,<,2
"July 17, 2012",0,0,0,,4,<,2
"July 16, 2012",0,0,0,<,10,,10
"July 15, 2012",0,0,0,<,10,<,10
"July 14, 2012",0,0,0,,10,<,10
"July 13, 2012",0,0,0,<,2,<,2
"July 12, 2012",0,0,0,<,2,<,2
"July 11, 2012",0,0,0,<,10,<,10
