"City Point Beach, South Boston: Bacterial Water Quality",,,,,
,,,,City Point at Farragut Road,
Date,1-Day Rain,2-Day Rain,3-Day Rain,Tag,Enterococcus
"August 27, 2024",0,0,0,<,10
"August 20, 2024",0.01,0.12,0.15,,20
"August 13, 2024",0,0,0,,20
"August 7, 2024",0.21,0.82,0.82,<,10
"July 30, 2024",0,0.03,0.03,,10
"July 23, 2024",0.01,0.02,0.02,<,10
"July 16, 2024",0,0.04,0.04,,10
"July 9, 2024",0,0,0,<,10
"July 1, 2024",0.16,0.18,0.18,<,10
"June 26, 2024",1.97,1.97,2.07,,20
"June 18, 2024",0,0,0,,20
"June 11, 2024",0,0,0.23,<,10
"June 4, 2024",0,0,0,<,10
"May 28, 2024",0.14,0.4,0.52,,63
"May 21, 2024",0,0,0.08,,10
"August 29, 2023",0.29,0.29,0.29,,10
"August 22, 2023",0,0.28,0.28,<,10
"August 15, 2023",0.64,0.64,0.79,,10
"August 8, 2023",1.33,1.33,1.33,,41
"August 1, 2023",0,0,0,,10
"July 25, 2023",0.88,0.88,0.88,,10
"July 18, 2023",0,0,1.6,,31
"July 11, 2023",0,0.71,0.71,<,10
"July 5, 2023",0,0.47,1.46,<,10
"June 27, 2023",0.55,0.55,0.57,<,10
"June 20, 2023",0,0,0.04,<,10
"June 13, 2023",0.01,0.35,0.35,<,10
"June 6, 2023",0,0.07,0.17,,20
"May 30, 2023",0,0,0,,10
"September 1, 2022",0,0.33,0.33,<,2
"August 25, 2022",0,0,0.02,<,2
"August 18, 2022",0,0.01,0.01,,2
"August 11, 2022",0,0,0.14,,67
"August 4, 2022",0,0,0,<,2
"July 28, 2022",0.04,0.04,0.04,,4
"July 21, 2022",0,0,0.02,,10
"July 14, 2022",0.16,0.16,0.17,<,2
"July 7, 2022",0,0.01,0.05,<,2
"June 30, 2022",0,0,0,<,2
"June 23, 2022",0,0,0,<,2
"June 16, 2022",0,0,0,<,2
"June 9, 2022",0.85,1.08,1.08,,37
"June 2, 2022",0.1,0.19,0.19,<,2
"May 26, 2022",0,0,0,<,2
"September 3, 2021",0,2.54,4.23,,6
"August 26, 2021",0,0,0,,5
"August 19, 2021",1.14,1.14,1.14,<,2
"August 12, 2021",0,0,0.03,,4
"August 5, 2021",1.42,2,2,,11
"July 29, 2021",0.01,0.01,0.39,,7
"July 22, 2021",0,0,0,,2
"July 15, 2021",0,0,0.01,,8
"July 10, 2021",0.05,2.09,2.39,,46
"July 8, 2021",0.3,0.33,0.62,<,2
"July 2, 2021",1.67,2.95,3.11,,8
