"Constitution Beach, East Boston: Bacterial Water Quality",,,,,,,,,
,,,,North,,Middle,,South,
Date,1-Day Rain,2-Day Rain,3-Day Rain,Tag,Enterococcus,Tag,Enterococcus,Tag,Enterococcus
"September 1, 2024",0,0,0,<,10,<,10,<,10
"August 31, 2024",0,0,0,<,10,<,10,<,10
"August 30, 2024",0,0,0,,10,,2,,19
"August 29, 2024",0,0,0,<,2,<,2,,8
"August 28, 2024",0,0,0,<,10,<,10,<,10
"August 27, 2024",0,0,0,<,10,<,10,<,10
"August 26, 2024",0,0,0,<,10,,20,<,10
"August 25, 2024",0,0,0,,20,<,10,<,10
"August 24, 2024",0,0,0,<,10,<,10,<,10
"August 23, 2024",0,0,0,,30,,14,,25
"August 22, 2024",0,0,0.01,,6,,4,,8
"August 21, 2024",0,0.01,0.12,<,10,<,10,,10
"August 20, 2024",0.01,0.12,0.15,,51,<,10,<,10
"August 19, 2024",0.11,0.14,0.14,,96,,238,,399
"August 18, 2024",0.03,0.03,0.03,,789,,727,,226
"August 17, 2024",0,0,0.89,,10,,20,<,10
"August 16, 2024",0,0.89,0.89,,15,,8,,7
"August 15, 2024",0.89,0.89,0.89,,12,,14,,2
"August 14, 2024",0,0,0,<,10,<,10,<,10
"August 13, 2024",0,0,0,,10,,10,<,10
"August 12, 2024",0,0,0.11,<,10,<,10,<,10
"August 11, 2024",0,0.11,0.43,<,10,,10,,10
"August 10, 2024",0.11,0.43,0.65,,727,,185,<,10
"August 9, 2024",0.32,0.54,0.75,,63,,354,,292
"August 8, 2024",0.22,0.43,1.04,<,2,,554,,446
"August 7, 2024",0.21,0.82,0.82,,110,,521,,335
"August 6, 2024",0.61,0.61,0.97,,1350,,1200,,1170
"August 5, 2024",0,0.36,0.36,,185,,110,,96
"August 4, 2024",0.36,0.36,1.19,,20,,10,,10
"August 3, 2024",0,0.83,0.83,<,10,,10,,10
"August 2, 2024",0.83,0.83,1.03,,5,,14,,7
"August 1, 2024",0,0.2,0.2,<,2,<,2,,35
"July 31, 2024",0.2,0.2,0.23,,20,,10,,10
"July 30, 2024",0,0.03,0.03,,10,,73,,52
"July 29, 2024",0.03,0.03,0.03,,10,<,10,<,10
"July 28, 2024",0,0,0,<,10,<,10,<,10
"July 27, 2024",0,0,0,,52,<,10,,62
"July 26, 2024",0,0,0.01,<,2,<,2,<,2
"July 25, 2024",0,0.01,0.02,,2,,4,,4
"July 24, 2024",0.01,0.02,0.03,,10,,107,,63
"July 23, 2024",0.01,0.02,0.02,,10,,10,,31
"July 22, 2024",0.01,0.01,0.01,<,10,,10,,41
"July 21, 2024",0,0,0,<,10,<,10,<,10
"July 20, 2024",0,0,0.2,<,10,<,10,<,10
"July 19, 2024",0,0.2,0.22,,2,<,2,,2
"July 18, 2024",0.2,0.22,0.22,,2,,13,,4
"July 17, 2024",0.02,0.02,0.06,,10,<,10,<,10
"July 16, 2024",0,0.04,0.04,,52,<,10,,168
"July 15, 2024",0.04,0.04,0.34,<,10,,20,<,10
"July 14, 2024",0,0.3,0.33,,10,<,10,<,10
"July 13, 2024",0.3,0.33,0.33,<,10,<,10,<,10
"July 12, 2024",0.03,0.03,0.03,<,2,<,2,,2
"July 11, 2024",0,0,0,,6,,28,,12
"July 10, 2024",0,0,0,,31,,20,,10
"July 9, 2024",0,0,0,,96,,185,,20
"July 8, 2024",0,0,0,<,10,<,10,,10
"July 7, 2024",0,0,0.38,,63,,10,,10
"July 6, 2024",0,0.38,0.38,<,10,,31,,10
"July 5, 2024",0.38,0.38,0.38,,600,,692,,315
"July 4, 2024",0,0,0,,14,,12,,13
"July 3, 2024",0,0,0.16,<,10,<,10,<,10
"July 2, 2024",0,0.16,0.18,<,10,<,10,<,10
"July 1, 2024",0.16,0.18,0.18,,10,<,10,<,10
"June 30, 2024",0.02,0.02,0.02,<,10,<,10,<,10
"June 29, 2024",0,0,0.08,<,10,,10,,10
"June 28, 2024",0,0.08,2.05,,7,,32,,22
"June 27, 2024",0.08,2.05,2.05,,733,,277,,285
