OBJECTID,Municipality,EJ criteria,Number of EJ block groups,Total number of block groups,Percent of EJ block groups,Population in EJ block groups,Total population,Percent of population in EJ BGs
1,Acton,M,3,16,18.8,5621,24021,23.4
2,Acushnet,I,1,6,16.7,1166,10559,11.0
3,Adams,I,6,8,75.0,6761,8166,82.8
4,Agawam,I,2,17,11.8,2484,28692,8.7
5,Amesbury,I,2,14,14.3,2701,17366,15.6
6,Amherst,MI,19,22,86.4,35670,39263,90.8
7,Andover,M,1,22,4.5,2013,36569,5.5
8,Aquinnah,M,1,1,100.0,439,439,100.0
9,Arlington,M,17,45,37.8,19823,46308,42.8
10,Ashland,MI,9,9,100.0,18832,18832,100.0
11,Athol,I,3,8,37.5,4460,11945,37.3
12,Attleboro,MI,12,30,40.0,17292,46461,37.2
13,Auburn,I,1,14,7.1,948,16889,5.6
14,Avon,M,4,4,100.0,4777,4777,100.0
15,Ayer,MI,4,7,57.1,3806,8479,44.9
16,Barnstable,MIE,12,38,31.6,15825,48916,32.4
17,Becket,I,1,2,50.0,1199,1931,62.1
18,Bedford,M,1,11,9.1,103,14383,0.7
19,Bellingham,MI,2,10,20.0,3002,16945,17.7
20,Belmont,M,3,25,12.0,4470,27295,16.4
21,Beverly,MI,10,31,32.3,12385,42670,29.0
22,Billerica,M,8,29,27.6,11917,42119,28.3
23,Blackstone,I,1,5,20.0,1166,9208,12.7
24,Boston,MIE,462,581,79.5,571192,676453,84.4
25,Bourne,MI,3,16,18.8,2106,20460,10.3
26,Boxborough,M,3,3,100.0,5506,5506,100.0
27,Braintree,MIE,22,27,81.5,31552,39143,80.6
28,Brewster,I,1,9,11.1,503,10318,4.9
29,Bridgewater,MI,3,14,21.4,6710,28633,23.4
30,Brockton,MIE,73,73,100.0,105643,105643,100.0
31,Brookfield,I,1,3,33.3,865,3439,25.2
32,Brookline,MIE,42,43,97.7,61557,62414,98.6
33,Buckland,I,1,2,50.0,892,1816,49.1
34,Burlington,M,9,17,52.9,14469,26377,54.9
35,Cambridge,MIE,80,87,92.0,112028,118403,94.6
36,Canton,M,7,13,53.8,11662,22430,52.0
37,Carver,I,2,8,25.0,3137,11645,26.9
38,Charlemont,I,2,2,100.0,2080,2080,100.0
39,Chatham,I,1,8,12.5,596,6594,9.0
40,Chelmsford,M,5,22,22.7,8362,35534,23.5
41,Chelsea,MIE,36,37,97.3,40787,40787,100.0
42,Chicopee,MIE,34,44,77.3,42789,55560,77.0
43,Clinton,MI,8,11,72.7,10782,15428,69.9
44,Concord,M,1,16,6.3,620,18491,3.4
45,Dalton,I,3,7,42.9,2254,6330,35.6
46,Danvers,MI,3,18,16.7,2853,28087,10.2
47,Dartmouth,MI,5,21,23.8,8385,33783,24.8
48,Dedham,M,6,19,31.6,8365,25364,33.0
49,Dennis,MI,4,18,22.2,3921,14674,26.7
50,Dracut,MI,7,18,38.9,12365,32617,37.9
51,Dudley,MI,3,8,37.5,4729,11921,39.7
52,Eastham,I,2,6,33.3,1519,5752,26.4
53,Easthampton,I,4,13,30.8,4150,16211,25.6
54,Everett,MIE,33,34,97.1,49053,49075,100.0
55,Fairhaven,I,2,14,14.3,1462,15924,9.2
56,Fall River,MIE,65,79,82.3,76088,94000,80.9
57,Falmouth,I,5,26,19.2,5861,32517,18.0
58,Fitchburg,MIE,30,33,90.9,36192,41946,86.3
59,Foxborough,M,2,13,15.4,3653,18618,19.6
60,Framingham,MIE,38,47,80.9,63128,72362,87.2
61,Gardner,MI,10,13,76.9,15633,21287,73.4
62,Gloucester,MI,7,24,29.2,7637,29729,25.7
63,Grafton,M,2,11,18.2,3849,19664,19.6
64,Great Barrington,MI,3,7,42.9,2113,7172,29.5
65,Greenfield,MI,10,17,58.8,10579,17768,59.5
66,Halifax,I,1,5,20.0,1533,7749,19.8
67,Hamilton,MI,2,8,25.0,1151,7561,15.2
68,Hanover,I,1,9,11.1,1142,14833,7.7
69,Hardwick,I,1,2,50.0,856,2667,32.1
70,Harvard,M,1,6,16.7,1390,6851,20.3
71,Harwich,I,1,12,8.3,565,13440,4.2
72,Haverhill,MIE,22,41,53.7,38467,67787,56.7
73,Hawley,I,1,1,100.0,933,933,100.0
74,Hingham,I,1,14,7.1,1314,24284,5.4
75,Hinsdale,I,1,2,50.0,574,1919,29.9
76,Holbrook,MI,8,9,88.9,10541,11405,92.4
77,Holliston,M,1,12,8.3,1177,14996,7.8
