Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,3.00,3.40,3.82,4.14,4.26,7.99,6.88,5.40,5.36,2.29,2.83,4.24,53.61
2001,1.62,3.04,6.16,1.96,3.52,5.34,3.47,0.65,4.54,0.91,1.39,2.78,35.38
2002,1.07,2.49,3.80,3.85,4.83,4.80,2.08,3.41,3.07,4.39,5.22,3.54,42.55
2003,3.06,3.36,2.83,3.02,4.81,5.90,2.69,7.99,8.43,4.98,4.45,4.15,55.67
2004,1.25,1.55,2.11,7.22,3.72,2.91,3.89,3.77,9.93,2.60,3.01,2.75,44.71
2005,4.82,2.73,3.13,4.43,2.40,4.42,2.41,2.81,2.03,17.18,4.87,3.77,55.00
2006,M,1.72,0.50,2.68,6.74,6.39,2.83,3.31,2.79,6.53,3.37,2.17,M
2007,2.84,2.15,5.01,5.92,2.76,2.59,5.50,1.12,2.57,3.61,2.77,4.29,41.13
2008,2.05,10.58,6.04,4.57,1.73,6.92,8.20,2.37,8.89,2.89,2.42,6.75,63.41
2009,4.20,1.29,2.52,2.96,M,5.38,9.03,3.52,1.32,5.26,2.73,4.19,M
2010,2.82,3.91,5.78,0.86,2.15,3.69,2.98,2.33,2.30,7.18,3.66,4.43,42.09
2011,2.97,3.47,5.33,5.42,4.25,5.84,1.81,10.05,8.48,6.77,3.50,4.68,62.57
2012,2.89,0.79,1.45,2.55,4.89,4.14,2.45,5.80,7.32,3.53,0.32,4.25,40.38
2013,2.06,2.69,1.82,2.12,5.86,9.44,4.94,3.51,3.36,1.64,4.19,3.47,45.10
2014,3.06,3.55,4.25,3.96,4.52,2.83,6.94,4.65,1.34,6.01,3.33,4.34,48.78
2015,3.96,1.75,1.77,2.22,0.95,8.10,4.02,4.37,4.04,4.20,1.89,4.53,41.80
2016,1.70,4.44,2.58,2.39,2.49,1.48,0.96,3.72,3.40,2.88,2.26,4.53,32.83
2017,2.55,2.62,2.29,4.99,6.40,4.61,3.54,3.10,2.74,7.17,0.80,2.41,43.22
2018,3.73,4.93,2.12,4.38,1.84,6.99,6.53,7.08,9.21,4.55,7.66,4.60,63.62
2019,5.09,3.20,1.39,7.38,3.10,3.10,3.06,4.12,1.11,4.70,2.85,5.86,44.96
2020,1.56,3.13,4.13,4.34,2.82,1.72,5.07,2.70,2.74,5.54,2.67,6.42,42.84
2021,2.32,2.40,1.86,4.34,5.29,2.53,11.92,3.93,6.14,6.57,2.32,3.86,53.48
2022,1.49,3.88,2.49,4.33,3.05,2.44,2.23,2.88,7.82,3.67,3.15,4.66,42.09
2023,6.53,1.78,4.12,3.44,3.94,3.98,13.08,4.21,8.73,2.90,2.06,5.67,60.44
2024,6.38,1.05,8.52,3.34,3.91,4.37,6.11,5.49,0.81,0.78,2.19,4.17,47.12
2025,1.01,3.56,M,M,M,M,M,M,M,M,M,M,M
Mean,2.96,3.06,3.43,3.87,3.76,4.72,4.90,4.09,4.74,4.75,3.04,4.26,47.95
Max,6.53 2023,10.58 2008,8.52 2024,7.38 2019,6.74 2006,9.44 2013,13.08 2023,10.05 2011,9.93 2004,17.18 2005,7.66 2018,6.75 2008,63.62 2018
Min,1.01 2025,0.79 2012,0.50 2006,0.86 2010,0.95 2015,1.48 2016,0.96 2016,0.65 2001,0.81 2024,0.78 2024,0.32 2012,2.17 2006,32.83 2016
