Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,4.02,3.49,4.07,6.33,3.84,6.50,5.43,M,4.46,2.36,3.21,M,M
2001,1.70,3.40,8.90,1.40,1.58,6.53,3.38,0.68,3.52,0.74,1.65,2.64,36.12
2002,2.51,2.19,3.69,3.62,5.08,4.08,2.50,3.16,3.28,3.80,5.00,5.02,43.93
2003,2.95,4.10,3.46,3.91,4.56,4.46,1.10,5.74,5.08,5.70,1.99,6.07,49.12
2004,1.13,1.61,2.12,9.63,4.21,1.93,2.90,5.15,7.60,1.89,3.22,4.82,46.21
2005,4.62,2.84,5.69,5.89,5.56,4.43,5.07,3.37,2.01,13.55,4.74,3.94,61.71
2006,5.06,3.06,0.71,2.46,6.85,8.54,3.55,4.50,2.82,6.07,5.45,1.94,51.01
2007,3.05,1.89,4.89,8.09,4.48,3.76,6.23,1.32,3.26,4.03,3.26,4.63,48.89
2008,2.76,10.06,5.67,4.13,2.08,4.14,7.80,3.90,7.81,2.36,3.96,7.85,62.52
2009,3.79,1.82,3.42,3.87,4.83,7.20,7.03,3.66,1.17,4.95,3.08,4.85,49.67
2010,3.00,5.73,11.32,1.46,3.06,3.19,4.97,3.43,2.03,6.92,3.98,3.98,53.07
2011,3.15,3.30,5.70,5.10,4.00,5.64,1.55,10.23,7.52,7.00,4.71,4.39,62.29
2012,2.89,0.83,2.22,3.18,4.52,3.75,1.39,5.02,4.61,6.56,0.68,4.68,40.33
2013,1.60,4.26,3.28,2.16,5.95,8.32,3.49,4.70,3.43,1.92,3.32,3.85,46.28
2014,3.36,4.07,4.64,3.98,5.47,1.88,7.77,2.71,2.59,8.94,3.85,4.89,54.15
2015,4.19,2.97,2.03,2.37,0.49,6.99,3.03,1.88,3.53,3.64,1.85,4.69,37.66
2016,1.60,4.23,3.86,2.44,2.79,1.74,1.49,4.17,2.65,3.57,2.37,4.38,35.29
2017,3.42,2.87,3.19,5.10,7.57,3.20,3.16,3.19,4.35,9.17,1.60,2.98,49.80
2018,3.57,4.56,3.59,5.11,2.34,4.12,5.95,6.97,10.60,4.96,8.91,3.61,64.29
2019,5.36,3.12,1.61,6.98,2.84,4.74,5.02,2.11,1.24,6.73,4.17,7.83,51.75
2020,2.13,3.29,3.66,5.02,3.05,2.01,6.06,3.01,1.54,5.61,3.32,7.22,45.92
2021,2.91,3.07,1.61,5.47,5.14,1.45,10.09,4.59,6.80,6.43,2.82,3.77,54.15
2022,3.04,5.91,2.81,4.48,1.93,2.02,3.84,1.55,6.12,4.35,3.39,6.76,46.20
2023,6.56,1.40,4.97,3.35,3.64,4.17,10.35,4.31,8.97,3.25,1.89,6.90,59.76
2024,6.69,1.16,8.57,4.56,5.70,3.32,6.96,6.30,0.99,1.09,3.46,4.13,52.93
2025,1.56,4.42,M,M,M,M,M,M,M,M,M,M,M
Mean,3.33,3.45,4.23,4.40,4.06,4.32,4.80,3.99,4.32,5.02,3.44,4.83,50.13
Max,6.69 2024,10.06 2008,11.32 2010,9.63 2004,7.57 2017,8.54 2006,10.35 2023,10.23 2011,10.60 2018,13.55 2005,8.91 2018,7.85 2008,64.29 2018
Min,1.13 2004,0.83 2012,0.71 2006,1.40 2001,0.49 2015,1.45 2021,1.10 2003,0.68 2001,0.99 2024,0.74 2001,0.68 2012,1.94 2006,35.29 2016
