Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,4.23,3.19,4.86,5.29,2.69,2.05,4.62,5.19,M,2.55,3.96,M,M
2001,3.79,3.09,10.41,2.80,2.41,4.61,5.12,5.99,0.68,1.67,1.00,3.35,44.92
2002,4.67,2.18,5.75,M,4.02,3.40,0.49,2.52,6.87,1.92,7.93,6.62,M
2003,2.52,7.70,6.41,4.26,2.27,5.62,1.85,3.35,3.88,4.90,3.49,5.07,51.32
2004,1.71,3.72,3.00,7.03,2.78,1.71,2.24,1.47,M,1.83,4.74,4.33,M
2005,4.69,2.02,4.60,3.68,7.03,0.04,3.83,0.89,3.88,M,3.78,4.27,M
2006,4.62,1.55,0.74,2.67,7.01,11.71,2.65,2.08,2.25,2.46,6.46,3.32,47.52
2007,3.81,1.49,4.01,7.90,2.98,0.70,2.79,1.12,2.91,1.75,7.68,5.21,42.35
2008,3.40,4.79,4.63,3.72,5.49,1.86,3.30,2.03,7.54,2.62,4.36,5.77,49.51
2009,4.29,2.19,3.84,M,2.54,3.43,6.62,5.49,2.16,6.94,2.25,M,M
2010,4.05,3.74,7.94,1.44,2.80,2.23,2.95,4.99,4.83,5.54,3.38,5.10,M
2011,5.07,3.57,1.82,4.33,2.07,3.35,4.86,3.58,2.05,7.75,4.29,2.52,45.26
2012,3.56,1.68,1.52,1.18,4.36,1.99,2.53,2.63,3.98,2.48,2.37,5.58,33.86
2013,1.60,7.01,4.95,3.68,4.34,7.20,4.36,1.22,1.72,0.95,4.33,3.91,45.27
2014,3.60,6.37,3.04,2.28,1.85,2.62,3.52,2.57,1.73,4.98,8.73,6.85,48.14
2015,4.40,3.92,4.71,1.26,0.91,3.31,1.98,3.42,2.17,6.98,5.98,5.14,44.18
2016,5.04,6.62,3.48,4.61,3.58,0.82,2.71,0.97,2.30,7.55,1.73,2.02,41.43
2017,4.45,3.37,3.41,5.33,4.83,2.74,2.09,6.24,6.34,5.35,1.80,2.51,48.46
2018,3.84,6.47,7.27,3.01,1.73,3.60,1.12,1.63,3.29,7.01,7.73,3.89,50.59
2019,4.57,2.53,3.83,5.53,3.80,5.83,1.99,1.51,4.94,5.73,3.42,7.93,51.61
2020,1.56,3.80,2.43,5.85,1.43,0.62,0.78,1.38,1.62,4.20,2.22,6.89,32.78
2021,2.30,4.97,2.32,M,M,M,M,M,M,M,M,M,M
2022,M,M,M,M,M,M,M,M,M,M,M,M,M
2023,M,M,M,M,M,M,M,M,M,M,M,M,M
2024,M,M,M,M,M,M,M,M,M,M,M,M,M
2025,M,M,M,M,M,M,M,M,M,M,M,M,M
Mean,3.72,3.91,4.32,3.99,3.38,3.31,2.97,2.87,3.43,4.26,4.36,4.75,45.15
Max,5.07 2011,7.70 2003,10.41 2001,7.90 2007,7.03 2005,11.71 2006,6.62 2009,6.24 2017,7.54 2008,7.75 2011,8.73 2014,7.93 2019,51.61 2019
Min,1.56 2020,1.49 2007,0.74 2006,1.18 2012,0.91 2015,0.04 2005,0.49 2002,0.89 2005,0.68 2001,0.95 2013,1.00 2001,2.02 2016,32.78 2020
