"Pleasure Bay Beach, South Boston: Bacterial Water Quality",,,,,,,,,
,,,,Pleasure Bay @ Broadway,,Pleasure Bay @ Flagpole,,Castle Island Playground,
Date,1-Day Rain,2-Day Rain,3-Day Rain,Tag,Enterococcus,Tag,Enterococcus,Tag,Enterococcus
"August 27, 2024",0.00,0,0,,30,,10,,20
"August 20, 2024",0.01,0.12,0.15,,10,,10,,60
"August 13, 2024",0.00,0,0,<,10,<,10,<,10
"August 7, 2024",0.21,0.82,0.82,<,10,<,10,,10
"July 30, 2024",0.00,0.03,0.03,<,10,<,10,<,10
"July 23, 2024",0.01,0.02,0.02,<,10,<,10,<,10
"July 16, 2024",0.00,0.04,0.04,<,10,<,10,<,10
"July 9, 2024",0.00,0,0,,10,<,10,<,10
"July 1, 2024",0.16,0.18,0.18,,20,,10,<,10
"June 26, 2024",1.97,1.97,2.07,<,10,<,10,<,10
"June 18, 2024",0.00,0,0,<,10,<,10,<,10
"June 11, 2024",0.00,0,0.23,,10,<,10,,10
"June 4, 2024",0.00,0,0,,10,,52,<,10
"May 28, 2024",0.14,0.4,0.52,,10,<,10,,86
"May 21, 2024",0,0,0.08,<,10,<,10,<,10
"August 29, 2023",0.29,0.29,0.29,,31,<,10,<,10
"August 22, 2023",0,0.28,0.28,,10,,30,<,10
"August 15, 2023",0.64,0.64,0.79,,63,,20,,10
"August 8, 2023",1.33,1.33,1.33,<,10,<,10,<,10
"August 1, 2023",0,0,0,<,10,,10,,10
"July 25, 2023",0.88,0.88,0.88,<,10,<,10,<,10
"July 18, 2023",0,0,1.6,<,10,,10,<,10
"July 11, 2023",0,0.71,0.71,,41,<,10,<,10
"July 5, 2023",0,0.47,1.46,<,10,<,10,<,10
"June 27, 2023",0.55,0.55,0.57,,10,<,10,,31
"June 20, 2023",0,0,0.04,<,10,<,10,<,10
"June 13, 2023",0.01,0.35,0.35,<,10,<,10,<,10
"June 6, 2023",0,0.07,0.17,<,10,<,10,,10
"May 30, 2023",0,0,0,<,10,<,10,<,10
"September 1, 2022",0,0.33,0.33,,2,,2,<,2
"August 25, 2022",0,0,0.02,<,2,<,2,,12
"August 18, 2022",0,0.01,0.01,<,2,,2,,4
"August 11, 2022",0,0,0.14,,20,,6,,20
"August 4, 2022",0,0,0,<,2,,8,<,2
"July 28, 2022",0.04,0.04,0.04,,4,,6,<,2
"July 21, 2022",0,0,0.02,,2,<,2,<,2
"July 14, 2022",0.16,0.16,0.17,,2,<,2,<,2
"July 7, 2022",0,0.01,0.05,,4,,13,<,2
"June 30, 2022",0,0,0,<,2,<,2,<,2
"June 23, 2022",0,0,0,<,2,<,2,<,2
"June 16, 2022",0,0,0,,6,,3,<,2
"June 9, 2022",0.85,1.08,1.08,,10,,5,,15
"June 2, 2022",0.1,0.19,0.19,<,2,<,2,<,2
"May 26, 2022",0,0,0,<,2,,2,<,2
"September 3, 2021",0,2.54,4.23,,4,,2,,2
"August 26, 2021",0,0,0,,12,,6,,2
