"Tenean Beach, Dorchester: Bacterial Water Quality",,,,,
,,,,Middle,
Date,1-Day Rain,2-Day Rain,3-Day Rain,Tag,Enterococcus
"September 1, 2024",0,0,0,<,10
"August 31, 2024",0,0,0,,20
"August 30, 2024",0,0,0,,8
"August 29, 2024",0,0,0,,18
"August 28, 2024",0,0,0,<,10
"August 27, 2024",0,0,0,<,10
"August 26, 2024",0,0,0,<,10
"August 25, 2024",0,0,0,,10
"August 24, 2024",0,0,0,,31
"August 23, 2024",0,0,0,,48
"August 22, 2024",0,0,0.01,,47
"August 21, 2024",0,0.01,0.12,,20
"August 20, 2024",0.01,0.12,0.15,,278
"August 19, 2024",0.11,0.14,0.14,,1890
"August 18, 2024",0.03,0.03,0.03,,135
"August 17, 2024",0,0,0.89,,119
"August 16, 2024",0,0.89,0.89,,57
"August 15, 2024",0.89,0.89,0.89,,12
"August 14, 2024",0,0,0,<,10
"August 13, 2024",0,0,0,,98
"August 12, 2024",0,0,0.11,,10
"August 11, 2024",0,0.11,0.43,,10
"August 10, 2024",0.11,0.43,0.65,,41
"August 9, 2024",0.32,0.54,0.75,,17
"August 8, 2024",0.22,0.43,1.04,,32
"August 7, 2024",0.21,0.82,0.82,,691
"August 6, 2024",0.61,0.61,0.97,,148
"August 5, 2024",0,0.36,0.36,,712
"August 4, 2024",0.36,0.36,1.19,,31
"August 3, 2024",0,0.83,0.83,<,10
"August 2, 2024",0.83,0.83,1.03,,58
"August 1, 2024",0,0.2,0.2,,62
"July 31, 2024",0.2,0.2,0.23,,10
"July 30, 2024",0,0.03,0.03,<,10
"July 29, 2024",0.03,0.03,0.03,,41
"July 28, 2024",0,0,0,,324
"July 27, 2024",0,0,0,,20
"July 26, 2024",0,0,0.01,,69
"July 25, 2024",0,0.01,0.02,,185
"July 24, 2024",0.01,0.02,0.03,,146
"July 23, 2024",0.01,0.02,0.02,,110
"July 22, 2024",0.01,0.01,0.01,,20
"July 21, 2024",0,0,0,,359
"July 20, 2024",0,0,0.2,,31
"July 19, 2024",0,0.2,0.22,,25
"July 18, 2024",0.2,0.22,0.22,,138
"July 17, 2024",0.02,0.02,0.06,,10
"July 16, 2024",0,0.04,0.04,,776
"July 15, 2024",0.04,0.04,0.34,,31
"July 14, 2024",0,0.3,0.33,,73
"July 13, 2024",0.3,0.33,0.33,,4350
"July 12, 2024",0.03,0.03,0.03,,33
"July 11, 2024",0,0,0,,25
"July 10, 2024",0,0,0,<,10
"July 9, 2024",0,0,0,,31
"July 8, 2024",0,0,0,,30
"July 7, 2024",0,0,0.38,,41
"July 6, 2024",0,0.38,0.38,,373
"July 5, 2024",0.38,0.38,0.38,,6
"July 4, 2024",0,0,0,,103
"July 3, 2024",0,0,0.16,,20
"July 2, 2024",0,0.16,0.18,,187
"July 1, 2024",0.16,0.18,0.18,,52
"June 30, 2024",0.02,0.02,0.02,,20
"June 29, 2024",0,0,0.08,,31
"June 28, 2024",0,0.08,2.05,,31
"June 27, 2024",0.08,2.05,2.05,,124
"June 26, 2024",1.97,1.97,2.07,,63
"June 25, 2024",0,0.1,0.18,,166
"June 24, 2024",0.1,0.18,0.36,,41
"June 23, 2024",0.08,0.26,0.74,,269
"June 22, 2024",0.18,0.66,0.95,,605
"June 21, 2024",0.48,0.77,0.77,,40
"June 20, 2024",0.29,0.29,0.29,,33
"June 19, 2024",0,0,0,,20
"June 18, 2024",0,0,0,,20
"June 17, 2024",0,0,0.03,,459
"June 16, 2024",0,0.03,0.57,,74
"June 15, 2024",0.03,0.57,0.57,<,10
"June 12, 2024",0,0,0,,41
"June 11, 2024",0,0,0.23,,1140
"June 5, 2024",0,0,0,<,10
"June 4, 2024",0,0,0,,171
"May 28, 2024",0.14,0.4,0.52,,41
"May 21, 2024",0,0,0.08,,30
"September 3, 2023",0.01,0.01,0.01,,20
"September 2, 2023",0,0,0,,20
"September 1, 2023",0,0,0.54,,52
"August 31, 2023",0,0.54,0.83,,102
"August 30, 2023",0.54,0.83,0.83,,187
"August 29, 2023",0.29,0.29,0.29,,148
"August 28, 2023",0,0,0,,74
"August 27, 2023",0,0,1.78,,253
"August 26, 2023",0,1.78,1.79,,52
"August 25, 2023",1.78,1.79,1.79,,54
"August 24, 2023",0.01,0.01,0.01,,20
"August 23, 2023",0,0,0.28,,74
"August 22, 2023",0,0.28,0.28,,269
"August 21, 2023",0.28,0.28,0.28,,62
"August 20, 2023",0,0,1.35,,1580
"August 19, 2023",0,1.35,1.35,,708
"August 18, 2023",1.35,1.35,1.35,,27
"August 17, 2023",0,0,0.64,,51
"August 16, 2023",0,0.64,0.64,,350
"August 15, 2023",0.64,0.64,0.79,,74
"August 14, 2023",0,0.15,0.15,<,10
"August 13, 2023",0.15,0.15,0.2,,30
"August 12, 2023",0,0.05,0.09,,185
"August 11, 2023",0.05,0.09,0.09,,5
"August 10, 2023",0.04,0.04,1.37,,100
"August 9, 2023",0,1.33,1.33,,269
"August 8, 2023",1.33,1.33,1.33,<,10
"August 7, 2023",0,0,0,,41
"August 6, 2023",0,0,0,,20
"August 5, 2023",0,0,0,,52
"August 3, 2023",0,0,0,,20
"August 2, 2023",0,0,0,,84
"August 1, 2023",0,0,0,,95
"July 31, 2023",0,0,3.07,,134
