"Wollaston Beach, Quincy: Bacterial Water Quality",,,,,,,,,,,
,,,,Milton Road,,Channing Street,,Sachem Street,,Rice Road,
Date,1-Day Rain,2-Day Rain,3-Day Rain,Tag,Enterococcus,Tag,Enterococcus,Tag,Enterococcus,Tag,Enterococcus
"September 1, 2024",0,0,0,,10,<,10,<,10,<,10
"August 31, 2024",0,0,0,,135,,62,,41,,20
"August 30, 2024",0,0,0,,12,,6,,15,,2
"August 29, 2024",0,0,0,,25,,57,,22,,24
"August 28, 2024",0,0,0,<,10,,10,<,10,,31
"August 27, 2024",0,0,0,<,10,<,10,<,10,,10
"August 26, 2024",0,0,0,<,10,<,10,<,10,<,10
"August 25, 2024",0,0,0,<,10,<,10,<,10,<,10
"August 24, 2024",0,0,0,,30,,20,,10,<,10
"August 23, 2024",0,0,0,,685,,323,,7,,25
"August 22, 2024",0,0,0.01,,2,,2,<,2,,4
"August 21, 2024",0,0.01,0.12,<,10,,31,,120,,10
"August 20, 2024",0.01,0.12,0.15,,86,,73,,155,,249
"August 19, 2024",0.11,0.14,0.14,,243,,74,,63,,171
"August 18, 2024",0.03,0.03,0.03,,63,,20,,52,,52
"August 17, 2024",0,0,0.89,<,10,,10,<,10,<,10
"August 16, 2024",0,0.89,0.89,,16,,23,,15,,20
"August 15, 2024",0.89,0.89,0.89,,10,,32,,25,,18
"August 14, 2024",0,0,0,,10,,10,<,10,<,10
"August 13, 2024",0,0,0,,20,,31,,10,<,10
"August 12, 2024",0,0,0.11,,10,,10,,10,,20
"August 11, 2024",0,0.11,0.43,,436,,74,,134,,159
"August 10, 2024",0.11,0.43,0.65,<,10,,10,<,10,<,10
"August 9, 2024",0.32,0.54,0.75,,10,,8,,6,,6
"August 8, 2024",0.22,0.43,1.04,,137,,37,,52,,26
"August 7, 2024",0.21,0.82,0.82,<,10,<,10,,10,<,10
"August 6, 2024",0.61,0.61,0.97,,10,<,10,,72,,63
"August 5, 2024",0,0.36,0.36,,20,,41,,275,<,10
"August 4, 2024",0.36,0.36,1.19,<,10,<,10,<,10,,20
"August 3, 2024",0,0.83,0.83,<,10,<,10,<,10,<,10
"August 2, 2024",0.83,0.83,1.03,<,2,,4,,2,,16
"August 1, 2024",0,0.2,0.2,,6,<,2,,22,,41
"July 31, 2024",0.2,0.2,0.23,<,10,<,10,<,10,,20
