Metropolitan Areas: Fraud and Other Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
1,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area","2,793","171,462"
2,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","2,712","167,515"
3,"Sebastian-Vero Beach-West Vero Corridor, FL Metropolitan Statistical Area","2,612","4,280"
4,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","2,330","63,405"
5,"North Port-Bradenton-Sarasota, FL Metropolitan Statistical Area","2,244","19,410"
6,"Charleston-North Charleston, SC Metropolitan Statistical Area","2,141","17,509"
7,"Lakeland-Winter Haven, FL Metropolitan Statistical Area","2,132","16,226"
8,"Las Vegas-Henderson-North Las Vegas, NV Metropolitan Statistical Area","2,122","48,682"
9,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","2,051","66,454"
10,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","2,046","159,709"
11,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area","2,020","12,534"
12,"East Stroudsburg, PA Micropolitan Statistical Area","1,986","3,332"
13,"Tuscaloosa, AL Metropolitan Statistical Area","1,959","5,391"
14,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","1,954","121,966"
15,"Jacksonville, FL Metropolitan Statistical Area","1,918","31,560"
16,"Port St. Lucie, FL Metropolitan Statistical Area","1,907","9,665"
17,"Odessa, TX Metropolitan Statistical Area","1,901","3,103"
18,"Houston-Pasadena-The Woodlands, TX Metropolitan Statistical Area","1,873","136,239"
19,"Memphis, TN-MS-AR Metropolitan Statistical Area","1,867","25,046"
20,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area","1,854","52,648"
21,"Savannah, GA Metropolitan Statistical Area","1,853","7,635"
22,"Warner Robins, GA Metropolitan Statistical Area","1,838","3,587"
23,"Baton Rouge, LA Metropolitan Statistical Area","1,830","15,942"
24,"Lubbock, TX Metropolitan Statistical Area","1,811","6,424"
25,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","1,774","48,136"
26,"Shreveport-Bossier City, LA Metropolitan Statistical Area","1,769","6,883"
27,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","1,756","109,978"
28,"New Orleans-Metairie, LA Metropolitan Statistical Area","1,753","17,332"
29,"Montgomery, AL Metropolitan Statistical Area","1,752","6,748"
30,"Birmingham, AL Metropolitan Statistical Area","1,748","20,649"
31,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area","1,738","11,988"
32,"Killeen-Temple, TX Metropolitan Statistical Area","1,728","8,395"
33,"Columbus, GA-AL Metropolitan Statistical Area","1,699","5,541"
34,"Dover, DE Metropolitan Statistical Area","1,688","3,124"
35,"Chicago-Naperville-Elgin, IL-IN Metropolitan Statistical Area","1,688","158,000"
36,"Punta Gorda, FL Metropolitan Statistical Area","1,682","3,281"
37,"Fayetteville, NC Metropolitan Statistical Area","1,665","6,492"
38,"Macon-Bibb County, GA Metropolitan Statistical Area","1,649","3,860"
39,"Tallahassee, FL Metropolitan Statistical Area","1,639","6,363"
40,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area","1,623","14,070"
41,"Ocala, FL Metropolitan Statistical Area","1,616","6,266"
42,"Columbia, SC Metropolitan Statistical Area","1,613","13,548"
43,"Lafayette, LA Metropolitan Statistical Area","1,593","6,545"
44,"Alexandria, LA Metropolitan Statistical Area","1,592","2,398"
45,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area","1,591","9,834"
46,"Huntsville, AL Metropolitan Statistical Area","1,581","7,978"
47,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area","1,578","12,512"
48,"Virginia Beach-Chesapeake-Norfolk, VA-NC Metropolitan Statistical Area","1,575","28,077"
49,"New York-Newark-Jersey City, NY-NJ Metropolitan Statistical Area","1,564","309,066"
50,"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area","1,553","76,729"
51,"Mobile, AL Metropolitan Statistical Area","1,542","6,371"
52,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area","1,519","66,361"
53,"Richmond, VA Metropolitan Statistical Area","1,518","20,145"
54,"Gainesville, FL Metropolitan Statistical Area","1,513","5,211"
55,"Myrtle Beach-Conway-North Myrtle Beach, SC Metropolitan Statistical Area","1,507","5,559"
56,"Lumberton, NC Micropolitan Statistical Area","1,506","1,760"
57,"Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area","1,504","35,466"
58,"St. Louis, MO-IL Metropolitan Statistical Area","1,497","42,059"
59,"Raleigh-Cary, NC Metropolitan Statistical Area","1,494","21,651"
60,"Kankakee, IL Metropolitan Statistical Area","1,493","1,595"
61,"Indianapolis-Carmel-Greenwood, IN Metropolitan Statistical Area","1,487","31,318"
62,"Elizabethtown, KY Metropolitan Statistical Area","1,486","1,880"
63,"Fort Collins-Loveland, CO Metropolitan Statistical Area","1,484","5,396"
64,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area","1,473","191,725"
65,"Prescott Valley-Prescott, AZ Metropolitan Statistical Area","1,448","3,500"
66,"Homosassa Springs, FL Metropolitan Statistical Area","1,448","2,298"
67,"Cleveland, OH Metropolitan Statistical Area","1,443","31,336"
68,"Vallejo, CA Metropolitan Statistical Area","1,437","6,477"
69,"Trenton-Princeton, NJ Metropolitan Statistical Area","1,434","5,497"
70,"Greenville-Anderson-Greer, SC Metropolitan Statistical Area","1,426","13,480"
71,"Greensboro-High Point, NC Metropolitan Statistical Area","1,420","11,078"
72,"Naples-Marco Island, FL Metropolitan Statistical Area","1,413","5,479"
73,"Panama City-Panama City Beach, FL Metropolitan Statistical Area","1,413","2,920"
74,"San Antonio-New Braunfels, TX Metropolitan Statistical Area","1,407","36,765"
75,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area","1,406","7,267"
76,"Florence, SC Metropolitan Statistical Area","1,401","2,797"
77,"LaGrange, GA-AL Micropolitan Statistical Area","1,393","1,453"
78,"Sumter, SC Metropolitan Statistical Area","1,384","1,451"
79,"Sebring, FL Metropolitan Statistical Area","1,378","1,430"
80,"Sacramento-Roseville-Folsom, CA Metropolitan Statistical Area","1,372","33,026"
81,"Greenville, NC Metropolitan Statistical Area","1,370","2,360"
82,"Tucson, AZ Metropolitan Statistical Area","1,364","14,321"
83,"Boulder, CO Metropolitan Statistical Area","1,359","4,462"
84,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","1,358","10,233"
85,"Colorado Springs, CO Metropolitan Statistical Area","1,351","10,275"
86,"Columbus, OH Metropolitan Statistical Area","1,348","28,999"
87,"Durham-Chapel Hill, NC Metropolitan Statistical Area","1,335","7,936"
88,"Seaford, DE Micropolitan Statistical Area","1,333","3,303"
89,"San Diego-Chula Vista-Carlsbad, CA Metropolitan Statistical Area","1,330","43,651"
90,"Rocky Mount, NC Metropolitan Statistical Area","1,326","1,912"
91,"Denver-Aurora-Centennial, CO Metropolitan Statistical Area","1,325","39,443"
92,"Wildwood-The Villages, FL Metropolitan Statistical Area","1,325","1,822"
93,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","1,324","61,410"
94,"Jackson, MS Metropolitan Statistical Area","1,322","8,141"
95,"Albany, GA Metropolitan Statistical Area","1,321","1,939"
96,"New Haven, CT Metropolitan Statistical Area","1,311","7,428"
97,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area","1,309","2,845"
98,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area","1,293","1,622"
99,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","1,291","60,059"
100,"Akron, OH Metropolitan Statistical Area","1,286","8,993"
101,"Asheville, NC Metropolitan Statistical Area","1,283","5,270"
102,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area","1,279","4,730"
103,"Clarksville, TN-KY Metropolitan Statistical Area","1,274","4,186"
104,"Midland, TX Metropolitan Statistical Area","1,271","2,247"
105,"Truckee-Grass Valley, CA Micropolitan Statistical Area","1,268","1,299"
106,"Spartanburg, SC Metropolitan Statistical Area","1,264","4,616"
107,"Kiryas Joel-Poughkeepsie-Newburgh, NY Metropolitan Statistical Area","1,262","8,844"
108,"Scranton--Wilkes-Barre, PA Metropolitan Statistical Area","1,261","7,162"
109,"Winchester, VA-WV Metropolitan Statistical Area","1,260","1,823"
110,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","1,258","50,609"
111,"Bridgeport-Stamford-Danbury, CT Metropolitan Statistical Area","1,252","11,861"
