Military Consumer Identity Theft Reports by Type,,,
,,,
Theft Type,Theft Subtype,# of Reports,% Difference from Previous Year
Bank Account,"Debit Cards, Electronic Funds Transfer, or ACH","3,526",5%
Bank Account,Existing Accounts,867,-8%
Bank Account,New Accounts,"3,743",-27%
Credit Card,Existing Accounts ,"3,365",8%
Credit Card,New Accounts ,"11,462",-7%
Employment or Tax-Related,Employment or Wage-Related Fraud,"1,154",36%
Employment or Tax-Related,Tax Fraud,"2,357",-6%
Government Documents or Benefits,Driver's License Issued\Forged,589,20%
Government Documents or Benefits,Government Benefits Applied For\Received,"2,530",-18%
Government Documents or Benefits,Other Government Documents Issued\Forged,806,41%
Government Documents or Benefits,Passport Issued\Forged,152,15%
Loan or Lease,Apartment or House Rented,893,45%
Loan or Lease,Auto Loan\Lease,"1,995",35%
Loan or Lease,Business\Personal Loan,"5,147",23%
Loan or Lease,Federal Student Loan,318,49%
Loan or Lease,Non-Federal Student Loan,737,41%
Loan or Lease,Real Estate Loan,501,29%
Other Identity Theft,Email or Social Media,"1,480",18%
Other Identity Theft,Evading the Law,412,21%
Other Identity Theft,Insurance,432,20%
Other Identity Theft,Medical Services,360,-3%
Other Identity Theft,Online Shopping or Payment Account,"1,299",9%
Other Identity Theft,Other,"4,530",21%
Other Identity Theft,Securities Accounts,506,21%
Phone or Utilities,Landline Telephone – Existing Accounts,97,-2%
Phone or Utilities,Landline Telephone – New Accounts,269,26%
Phone or Utilities,Mobile Telephone – Existing Accounts,573,9%
Phone or Utilities,Mobile Telephone – New Accounts,"2,330",4%
Phone or Utilities,Utilities – Existing Accounts,90,-18%
Phone or Utilities,Utilities – New Accounts,"1,328",-5%
,,,
"Consumers can report multiple types of identity theft. In 2024, 19% of Military identity theft reports included more than one type of identity theft.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",,,
