Reported Frauds and Losses by Age,,,,,
,,,,,
Age Range,# of Reports,Percentage,Total $ Lost,Median $ Loss,Percentage Reporting $ Loss
19 and Under,"30,330",3%,$55M,$189 ,51%
20 - 29,"155,346",13%,$430M,$417 ,44%
30 - 39,"203,764",17%,$810M,$450 ,40%
40 - 49,"191,508",16%,$971M,$500 ,38%
50 - 59,"175,898",15%,"$1,006M",$520 ,35%
60 - 69,"208,896",18%,"$1,180M",$691 ,29%
70 - 79,"159,550",14%,$887M,"$1,000 ",24%
80 and Over,"51,713",4%,$319M,"$1,650 ",21%
,,,,,
"Percentages are based on the total number of 2024 fraud reports in which consumers provided their age: 1,177,005.",,,,,
"Of the 2,600,678 total fraud reports in 2024, 45% included consumer age information.",,,,,
,,,,,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",,,,,
