State: Identity Theft Reports,,,
,,,
State,Theft Type,# of Reports,Percentage
Alabama,Bank Account,"1,202",9%
Alabama,Credit Card,"5,245",39%
Alabama,Employment or Tax-Related,746,5%
Alabama,Government Documents or Benefits,696,5%
Alabama,Loan or Lease,"2,846",21%
Alabama,Other Identity Theft,"4,842",36%
Alabama,Phone or Utilities,"1,012",7%
Alaska,Bank Account,131,17%
Alaska,Credit Card,252,32%
Alaska,Employment or Tax-Related,69,9%
Alaska,Government Documents or Benefits,79,10%
Alaska,Loan or Lease,116,15%
Alaska,Other Identity Theft,219,28%
Alaska,Phone or Utilities,72,9%
Arizona,Bank Account,"1,987",10%
Arizona,Credit Card,"8,097",39%
Arizona,Employment or Tax-Related,"2,502",12%
Arizona,Government Documents or Benefits,"1,134",5%
Arizona,Loan or Lease,"3,541",17%
Arizona,Other Identity Theft,"5,617",27%
Arizona,Phone or Utilities,"1,823",9%
Arkansas,Bank Account,755,12%
Arkansas,Credit Card,"1,979",31%
Arkansas,Employment or Tax-Related,855,13%
Arkansas,Government Documents or Benefits,391,6%
Arkansas,Loan or Lease,"1,092",17%
Arkansas,Other Identity Theft,"2,070",33%
Arkansas,Phone or Utilities,520,8%
California,Bank Account,"11,916",9%
California,Credit Card,"68,323",49%
California,Employment or Tax-Related,"10,341",7%
California,Government Documents or Benefits,"6,442",5%
California,Loan or Lease,"18,629",13%
California,Other Identity Theft,"38,458",28%
California,Phone or Utilities,"7,182",5%
Colorado,Bank Account,"2,230",18%
Colorado,Credit Card,"4,191",35%
Colorado,Employment or Tax-Related,"1,282",11%
Colorado,Government Documents or Benefits,"1,165",10%
Colorado,Loan or Lease,"1,822",15%
Colorado,Other Identity Theft,"2,777",23%
Colorado,Phone or Utilities,"1,002",8%
Connecticut,Bank Account,"1,232",14%
Connecticut,Credit Card,"3,786",45%
Connecticut,Employment or Tax-Related,504,6%
Connecticut,Government Documents or Benefits,554,7%
Connecticut,Loan or Lease,948,11%
Connecticut,Other Identity Theft,"2,276",27%
Connecticut,Phone or Utilities,663,8%
Delaware,Bank Account,320,8%
Delaware,Credit Card,"1,785",45%
Delaware,Employment or Tax-Related,157,4%
Delaware,Government Documents or Benefits,152,4%
Delaware,Loan or Lease,670,17%
Delaware,Other Identity Theft,"1,226",31%
Delaware,Phone or Utilities,385,10%
