State Rankings: Identity Theft Reports,,,
,,,
Rank,State,Reports per 100K Population,# of Reports
1,Florida,528,"115,840"
2,Georgia,517,"55,955"
3,Nevada,466,"14,631"
4,Texas,393,"116,484"
5,Delaware,392,"3,942"
6,Massachusetts,388,"27,141"
7,California,356,"139,665"
8,Louisiana,346,"15,991"
9,Illinois,339,"43,028"
10,Maryland,324,"19,990"
11,New Jersey,313,"29,037"
12,New York,295,"58,692"
13,South Carolina,291,"15,146"
14,Pennsylvania,290,"37,717"
15,Arizona,287,"20,863"
16,Alabama,269,"13,596"
17,Mississippi,268,"7,903"
18,Rhode Island,264,"2,896"
19,North Carolina,259,"27,466"
20,Michigan,237,"23,783"
21,Connecticut,236,"8,502"
22,Ohio,236,"27,766"
23,Virginia,213,"18,460"
24,Tennessee,212,"14,829"
25,Arkansas,209,"6,340"
26,Colorado,208,"12,087"
27,Indiana,198,"13,471"
28,Missouri,187,"11,535"
29,Oklahoma,169,"6,747"
30,Washington,169,"13,068"
31,Oregon,163,"6,898"
32,Utah,157,"5,224"
33,Kansas,154,"4,518"
34,New Mexico,150,"3,171"
35,New Hampshire,150,"2,079"
36,Wisconsin,149,"8,798"
37,Kentucky,142,"6,396"
38,Hawaii,138,"1,990"
39,Montana,131,"1,447"
40,Nebraska,130,"2,554"
41,Minnesota,127,"7,280"
42,Maine,127,"1,746"
43,Idaho,125,"2,367"
44,Iowa,123,"3,919"
45,Wyoming,120,697
46,North Dakota,119,924
47,West Virginia,113,"2,017"
48,Alaska,106,780
49,Vermont,101,651
50,South Dakota,94,845
,District of Columbia,480,"3,225"
,Puerto Rico,51,"1,649"
,,,
"The District of Columbia and Puerto Rico are included in the table but are not ranked.  States are ranked based on the number of reports per 100,000 populations. Population estimates are based on 2023 U.S. Census population estimates.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",,,
