State: Top Ten Report Categories,,,
,,,
State,Category,# of Reports,Percentage
Alabama,Credit Bureaus and Information Furnishers,"26,474",32%
Alabama,Identity Theft,"13,596",16%
Alabama,Imposter Scams,"8,302",10%
Alabama,Banks and Lenders,"4,117",5%
Alabama,Debt Collection,"4,068",5%
Alabama,Online Shopping and Negative Reviews,"3,931",5%
Alabama,Auto Related,"2,314",3%
Alabama,"Prizes, Sweepstakes and Lotteries","1,923",2%
Alabama,Internet Services,"1,643",2%
Alabama,Credit Cards,1358,2%
Alaska,Imposter Scams,1850,23%
Alaska,Identity Theft,780,10%
Alaska,Online Shopping and Negative Reviews,663,8%
Alaska,Credit Bureaus and Information Furnishers,544,7%
Alaska,Banks and Lenders,505,6%
Alaska,Internet Services,363,5%
Alaska,"Privacy, Data Security, and Cyber Threats",289,4%
Alaska,Auto Related,255,3%
Alaska,Investment Related,248,3%
Alaska,"Prizes, Sweepstakes and Lotteries",235,3%
Arizona,Identity Theft,"20,863",16%
Arizona,Credit Bureaus and Information Furnishers,"20,673",16%
Arizona,Imposter Scams,"17,681",14%
Arizona,Online Shopping and Negative Reviews,"7,198",6%
Arizona,Banks and Lenders,"7,110",6%
Arizona,Auto Related,"4,483",4%
Arizona,Debt Collection,"4,396",3%
Arizona,Health Care,"3,207",3%
Arizona,Internet Services,"2,831",2%
Arizona,Business and Job Opportunities,"2,803",2%
Arkansas,Credit Bureaus and Information Furnishers,"6,533",18%
Arkansas,Identity Theft,"6,340",18%
Arkansas,Imposter Scams,"4,821",13%
Arkansas,Banks and Lenders,"2,173",6%
Arkansas,Online Shopping and Negative Reviews,2124,6%
Arkansas,Debt Collection,1546,4%
Arkansas,Auto Related,1200,3%
Arkansas,"Prizes, Sweepstakes and Lotteries",1055,3%
Arkansas,Internet Services,857,2%
Arkansas,Credit Cards,751,2%
California,Identity Theft,"139,665",22%
California,Credit Bureaus and Information Furnishers,"128,620",20%
California,Imposter Scams,"71,839",11%
California,Banks and Lenders,"40,233",6%
California,Online Shopping and Negative Reviews,"35,661",6%
California,Debt Collection,"19,443",3%
California,Auto Related,"17,432",3%
California,Credit Cards,"16,173",3%
California,Internet Services,"15,953",2%
California,"Privacy, Data Security, and Cyber Threats","12,836",2%
Colorado,Imposter Scams,"15,028",18%
Colorado,Identity Theft,"12,087",14%
Colorado,Online Shopping and Negative Reviews,"6,536",8%
Colorado,Credit Bureaus and Information Furnishers,"6,421",8%
Colorado,Banks and Lenders,"6,231",7%
Colorado,Auto Related,"3,277",4%
Colorado,Internet Services,"2,492",3%
Colorado,Health Care,"2,332",3%
Colorado,"Privacy, Data Security, and Cyber Threats","2,322",3%
Colorado,Debt Collection,"2,289",3%
Connecticut,Credit Bureaus and Information Furnishers,"9,952",19%
Connecticut,Identity Theft,"8,502",16%
Connecticut,Imposter Scams,"6,640",13%
Connecticut,Banks and Lenders,"3,715",7%
Connecticut,Online Shopping and Negative Reviews,"3,565",7%
Connecticut,Auto Related,"2,096",4%
Connecticut,Debt Collection,"1,747",3%
Connecticut,Credit Cards,1494,3%
Connecticut,Internet Services,1374,3%
Connecticut,Health Care,1150,2%
Delaware,Credit Bureaus and Information Furnishers,"6,110",27%
Delaware,Identity Theft,"3,942",17%
Delaware,Imposter Scams,2398,11%
Delaware,Banks and Lenders,1417,6%
Delaware,Online Shopping and Negative Reviews,1322,6%
Delaware,Debt Collection,984,4%
Delaware,Auto Related,699,3%
Delaware,Credit Cards,586,3%
Delaware,Internet Services,537,2%
Delaware,Health Care,402,2%
District of Columbia,Credit Bureaus and Information Furnishers,"4,655",23%
District of Columbia,Identity Theft,"3,225",16%
District of Columbia,Imposter Scams,2227,11%
District of Columbia,Banks and Lenders,1757,9%
District of Columbia,Online Shopping and Negative Reviews,1070,5%
District of Columbia,Credit Cards,698,3%
District of Columbia,Internet Services,657,3%
District of Columbia,Debt Collection,630,3%
District of Columbia,Auto Related,553,3%
District of Columbia,"Privacy, Data Security, and Cyber Threats",448,2%
Florida,Credit Bureaus and Information Furnishers,"204,463",35%
Florida,Identity Theft,"115,840",20%
Florida,Imposter Scams,"47,355",8%
Florida,Banks and Lenders,"25,838",4%
Florida,Debt Collection,"23,317",4%
Florida,Online Shopping and Negative Reviews,"22,745",4%
Florida,Auto Related,"16,394",3%
Florida,Credit Cards,"10,958",2%
Florida,Internet Services,"10,153",2%
Florida,Health Care,"10,019",2%
Georgia,Credit Bureaus and Information Furnishers,"100,029",35%
Georgia,Identity Theft,"55,955",20%
Georgia,Imposter Scams,"18,745",7%
Georgia,Debt Collection,"16,314",6%
Georgia,Banks and Lenders,"14,846",5%
Georgia,Online Shopping and Negative Reviews,"9,940",3%
Georgia,Auto Related,"7,864",3%
Georgia,Credit Cards,"5,622",2%
Georgia,Internet Services,"5,399",2%
Georgia,Business and Job Opportunities,"4,329",2%
Hawaii,Imposter Scams,"3,235",20%
Hawaii,Identity Theft,"1,990",12%
Hawaii,Credit Bureaus and Information Furnishers,1792,11%
Hawaii,Online Shopping and Negative Reviews,1236,8%
Hawaii,Banks and Lenders,1049,6%
Hawaii,Investment Related,531,3%
Hawaii,Auto Related,469,3%
Hawaii,Internet Services,426,3%
Hawaii,"Prizes, Sweepstakes and Lotteries",412,3%
Hawaii,"Privacy, Data Security, and Cyber Threats",407,3%
Idaho,Imposter Scams,"3,557",19%
Idaho,Identity Theft,"2,367",13%
Idaho,Online Shopping and Negative Reviews,1656,9%
Idaho,Banks and Lenders,1309,7%
Idaho,Credit Bureaus and Information Furnishers,1121,6%
Idaho,Auto Related,654,4%
Idaho,"Prizes, Sweepstakes and Lotteries",637,3%
Idaho,"Privacy, Data Security, and Cyber Threats",551,3%
Idaho,Debt Collection,536,3%
Idaho,Business and Job Opportunities,488,3%
Illinois,Credit Bureaus and Information Furnishers,"66,249",29%
Illinois,Identity Theft,"43,028",19%
Illinois,Imposter Scams,"21,393",9%
