Top Three Identity Theft Reports by Year,,
,,
Theft Type,Year,# of Reports
2020,Bank Account,"89,684"
2020,Credit Card,"393,446"
2020,Loan or Lease,"205,092"
2021,Bank Account,"124,544"
2021,Credit Card,"389,790"
2021,Loan or Lease,"197,981"
2022,Bank Account,"156,144"
2022,Credit Card,"440,675"
2022,Loan or Lease,"153,598"
2023,Bank Account,"136,862"
2023,Credit Card,"416,579"
2023,Loan or Lease,"149,803"
2024,Bank Account,"114,608"
2024,Credit Card,"449,032"
2024,Loan or Lease,"176,400"
,,
,,
The top identity theft types can vary by year. This table shows the top three types of identity theft reported in 2024 and how those types changed over five years.,,
,,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",,
