Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Flagstaff, AZ Metropolitan Statistical Area","1,270"
"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area","2,845"
"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area","76,729"
"Prescott Valley-Prescott, AZ Metropolitan Statistical Area","3,500"
"Show Low, AZ Micropolitan Statistical Area",878
"Sierra Vista-Douglas, AZ Metropolitan Statistical Area","1,622"
"Tucson, AZ Metropolitan Statistical Area","14,321"
"Yuma, AZ Metropolitan Statistical Area","1,872"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
