Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Fayetteville-Springdale-Rogers, AR Metropolitan Statistical Area","4,668"
"Fort Smith, AR-OK Metropolitan Statistical Area","1,523"
"Hot Springs, AR Metropolitan Statistical Area","1,065"
"Jonesboro, AR Metropolitan Statistical Area","1,180"
"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","10,233"
"Memphis, TN-MS-AR Metropolitan Statistical Area","25,046"
"Texarkana, TX-AR Metropolitan Statistical Area","1,324"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
