Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Bakersfield-Delano, CA Metropolitan Statistical Area","9,625"
"Chico, CA Metropolitan Statistical Area","2,088"
"El Centro, CA Metropolitan Statistical Area",937
"Eureka-Arcata, CA Micropolitan Statistical Area","1,255"
"Fresno, CA Metropolitan Statistical Area","11,969"
"Hanford-Corcoran, CA Metropolitan Statistical Area","1,060"
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area","191,725"
"Merced, CA Metropolitan Statistical Area","2,244"
"Modesto, CA Metropolitan Statistical Area","4,819"
"Napa, CA Metropolitan Statistical Area","1,225"
"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area","9,522"
"Redding, CA Metropolitan Statistical Area","1,747"
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","61,410"
"Sacramento-Roseville-Folsom, CA Metropolitan Statistical Area","33,026"
"Salinas, CA Metropolitan Statistical Area","2,969"
"San Diego-Chula Vista-Carlsbad, CA Metropolitan Statistical Area","43,651"
"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","60,059"
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","22,452"
"San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area","3,028"
"Santa Cruz-Watsonville, CA Metropolitan Statistical Area","2,699"
"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area","3,619"
"Santa Rosa-Petaluma, CA Metropolitan Statistical Area","4,928"
"Stockton-Lodi, CA Metropolitan Statistical Area","8,456"
"Truckee-Grass Valley, CA Micropolitan Statistical Area","1,299"
"Vallejo, CA Metropolitan Statistical Area","6,477"
"Visalia, CA Metropolitan Statistical Area","3,432"
"Yuba City, CA Metropolitan Statistical Area","1,611"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
