Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Boulder, CO Metropolitan Statistical Area","4,462"
"Colorado Springs, CO Metropolitan Statistical Area","10,275"
"Denver-Aurora-Centennial, CO Metropolitan Statistical Area","39,443"
"Fort Collins-Loveland, CO Metropolitan Statistical Area","5,396"
"Grand Junction, CO Metropolitan Statistical Area","1,483"
"Greeley, CO Metropolitan Statistical Area","3,042"
"Pueblo, CO Metropolitan Statistical Area","1,807"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
