Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Bridgeport-Stamford-Danbury, CT Metropolitan Statistical Area","11,861"
"Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area","13,836"
"New Haven, CT Metropolitan Statistical Area","7,428"
"Norwich-New London-Willimantic, CT Metropolitan Statistical Area","2,978"
"Torrington, CT Micropolitan Statistical Area","1,252"
"Waterbury-Shelton, CT Metropolitan Statistical Area","5,378"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
