Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Cape Coral-Fort Myers, FL Metropolitan Statistical Area","12,512"
"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area","3,429"
"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area","11,988"
"Gainesville, FL Metropolitan Statistical Area","5,211"
"Homosassa Springs, FL Metropolitan Statistical Area","2,298"
"Jacksonville, FL Metropolitan Statistical Area","31,560"
"Lakeland-Winter Haven, FL Metropolitan Statistical Area","16,226"
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area","171,462"
"Naples-Marco Island, FL Metropolitan Statistical Area","5,479"
"North Port-Bradenton-Sarasota, FL Metropolitan Statistical Area","19,410"
"Ocala, FL Metropolitan Statistical Area","6,266"
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","63,405"
"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area","12,534"
"Panama City-Panama City Beach, FL Metropolitan Statistical Area","2,920"
"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area","7,267"
"Port St. Lucie, FL Metropolitan Statistical Area","9,665"
"Punta Gorda, FL Metropolitan Statistical Area","3,281"
"Sebastian-Vero Beach-West Vero Corridor, FL Metropolitan Statistical Area","4,280"
"Sebring, FL Metropolitan Statistical Area","1,430"
"Tallahassee, FL Metropolitan Statistical Area","6,363"
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","66,454"
"Wildwood-The Villages, FL Metropolitan Statistical Area","1,822"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
