Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Albany, GA Metropolitan Statistical Area","1,939"
"Athens-Clarke County, GA Metropolitan Statistical Area","1,948"
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","167,515"
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area","9,834"
"Brunswick-St. Simons, GA Metropolitan Statistical Area","1,330"
"Chattanooga, TN-GA Metropolitan Statistical Area","6,737"
"Columbus, GA-AL Metropolitan Statistical Area","5,541"
"Dalton, GA Metropolitan Statistical Area",821
"Gainesville, GA Metropolitan Statistical Area","2,087"
"LaGrange, GA-AL Micropolitan Statistical Area","1,453"
"Macon-Bibb County, GA Metropolitan Statistical Area","3,860"
"Savannah, GA Metropolitan Statistical Area","7,635"
"Valdosta, GA Metropolitan Statistical Area","1,769"
"Warner Robins, GA Metropolitan Statistical Area","3,587"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
