Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Hilo-Kailua, HI Micropolitan Statistical Area","2,036"
"Kahului-Wailuku, HI Metropolitan Statistical Area","1,532"
"Urban Honolulu, HI Metropolitan Statistical Area","9,823"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
