Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Boise City, ID Metropolitan Statistical Area","7,571"
"Coeur d'Alene, ID Metropolitan Statistical Area","1,748"
"Idaho Falls, ID Metropolitan Statistical Area","1,136"
"Logan, UT-ID Metropolitan Statistical Area",996
"Twin Falls, ID Metropolitan Statistical Area",773
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
