Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Bloomington, IL Metropolitan Statistical Area","1,624"
"Champaign-Urbana, IL Metropolitan Statistical Area","2,631"
"Chicago-Naperville-Elgin, IL-IN Metropolitan Statistical Area","158,000"
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area","3,376"
"Decatur, IL Metropolitan Statistical Area","1,011"
"Kankakee, IL Metropolitan Statistical Area","1,595"
"Ottawa, IL Micropolitan Statistical Area",893
"Paducah, KY-IL Metropolitan Statistical Area",785
"Peoria, IL Metropolitan Statistical Area","3,296"
"Rockford, IL Metropolitan Statistical Area","3,959"
"Springfield, IL Metropolitan Statistical Area","2,159"
"St. Louis, MO-IL Metropolitan Statistical Area","42,059"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
