Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Bloomington, IN Metropolitan Statistical Area","1,382"
"Chicago-Naperville-Elgin, IL-IN Metropolitan Statistical Area","158,000"
"Cincinnati, OH-KY-IN Metropolitan Statistical Area","24,149"
"Elkhart-Goshen, IN Metropolitan Statistical Area","1,395"
"Evansville, IN Metropolitan Statistical Area","2,472"
"Fort Wayne, IN Metropolitan Statistical Area","4,431"
"Indianapolis-Carmel-Greenwood, IN Metropolitan Statistical Area","31,318"
"Lafayette-West Lafayette, IN Metropolitan Statistical Area","1,613"
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","14,501"
"Michigan City-La Porte, IN Metropolitan Statistical Area","1,073"
"Muncie, IN Metropolitan Statistical Area",850
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area","3,006"
"Terre Haute, IN Metropolitan Statistical Area","1,121"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
