Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Ames, IA Metropolitan Statistical Area",807
"Cedar Rapids, IA Metropolitan Statistical Area","2,209"
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area","3,376"
"Des Moines-West Des Moines, IA Metropolitan Statistical Area","6,021"
"Iowa City, IA Metropolitan Statistical Area","1,443"
"Omaha, NE-IA Metropolitan Statistical Area","11,283"
"Sioux City, IA-NE-SD Metropolitan Statistical Area",895
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area","1,087"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
