Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Joplin, MO-KS Metropolitan Statistical Area","1,596"
"Kansas City, MO-KS Metropolitan Statistical Area","24,559"
"Lawrence, KS Metropolitan Statistical Area","1,070"
"Manhattan, KS Metropolitan Statistical Area","1,155"
"St. Joseph, MO-KS Metropolitan Statistical Area",856
"Topeka, KS Metropolitan Statistical Area","2,110"
"Wichita, KS Metropolitan Statistical Area","5,811"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
