Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Augusta-Waterville, ME Micropolitan Statistical Area","1,070"
"Bangor, ME Metropolitan Statistical Area","1,222"
"Lewiston-Auburn, ME Metropolitan Statistical Area","1,025"
"Portland-South Portland, ME Metropolitan Statistical Area","5,215"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
