Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area","52,648"
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area","3,665"
"Lexington Park, MD Metropolitan Statistical Area","2,473"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","121,966"
"Salisbury, MD Metropolitan Statistical Area","1,287"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","109,978"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
