Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Amherst Town-Northampton, MA Metropolitan Statistical Area","1,560"
"Barnstable Town, MA Metropolitan Statistical Area","2,322"
"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area","59,918"
"Pittsfield, MA Metropolitan Statistical Area","1,255"
"Providence-Warwick, RI-MA Metropolitan Statistical Area","17,440"
"Springfield, MA Metropolitan Statistical Area","4,994"
"Worcester, MA Metropolitan Statistical Area","8,660"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
