Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Ann Arbor, MI Metropolitan Statistical Area","4,321"
"Battle Creek, MI Metropolitan Statistical Area","1,143"
"Bay City, MI Metropolitan Statistical Area",708
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area","66,361"
"Flint, MI Metropolitan Statistical Area","4,978"
"Grand Rapids-Wyoming-Kentwood, MI Metropolitan Statistical Area","10,409"
"Holland, MI Micropolitan Statistical Area",702
"Jackson, MI Metropolitan Statistical Area","1,437"
"Kalamazoo-Portage, MI Metropolitan Statistical Area","2,954"
"Lansing-East Lansing, MI Metropolitan Statistical Area","4,598"
"Monroe, MI Metropolitan Statistical Area","1,157"
"Muskegon-Norton Shores, MI Metropolitan Statistical Area","1,437"
"Niles, MI Metropolitan Statistical Area","1,376"
"Saginaw, MI Metropolitan Statistical Area","1,500"
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area","3,006"
"Traverse City, MI Metropolitan Statistical Area","1,145"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
