Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Duluth, MN-WI Metropolitan Statistical Area","2,226"
"Fargo, ND-MN Metropolitan Statistical Area","2,183"
"Grand Forks, ND-MN Metropolitan Statistical Area",606
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area","1,142"
"Mankato, MN Metropolitan Statistical Area",695
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area","38,139"
"Rochester, MN Metropolitan Statistical Area","1,818"
"Sioux Falls, SD-MN Metropolitan Statistical Area","2,266"
"St. Cloud, MN Metropolitan Statistical Area","1,361"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
