Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Gulfport-Biloxi, MS Metropolitan Statistical Area","4,784"
"Hattiesburg, MS Metropolitan Statistical Area","1,695"
"Jackson, MS Metropolitan Statistical Area","8,141"
"Memphis, TN-MS-AR Metropolitan Statistical Area","25,046"
"Tupelo, MS Micropolitan Statistical Area","1,262"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
