Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Columbia, MO Metropolitan Statistical Area","1,921"
"Jefferson City, MO Metropolitan Statistical Area","1,113"
"Joplin, MO-KS Metropolitan Statistical Area","1,596"
"Kansas City, MO-KS Metropolitan Statistical Area","24,559"
"Springfield, MO Metropolitan Statistical Area","4,427"
"St. Joseph, MO-KS Metropolitan Statistical Area",856
"St. Louis, MO-IL Metropolitan Statistical Area","42,059"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
