Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Billings, MT Metropolitan Statistical Area","1,608"
"Bozeman, MT Metropolitan Statistical Area","1,101"
"Kalispell, MT Micropolitan Statistical Area","1,079"
"Missoula, MT Metropolitan Statistical Area","1,274"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
