Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area","59,918"
"Concord, NH Micropolitan Statistical Area","1,494"
"Lebanon-Claremont, NH-VT Micropolitan Statistical Area","2,075"
"Manchester-Nashua, NH Metropolitan Statistical Area","4,951"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
