Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Albuquerque, NM Metropolitan Statistical Area","10,534"
"Farmington, NM Metropolitan Statistical Area",746
"Las Cruces, NM Metropolitan Statistical Area","2,158"
"Santa Fe, NM Metropolitan Statistical Area","1,927"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
