Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Akron, OH Metropolitan Statistical Area","8,993"
"Canton-Massillon, OH Metropolitan Statistical Area","3,711"
"Cincinnati, OH-KY-IN Metropolitan Statistical Area","24,149"
"Cleveland, OH Metropolitan Statistical Area","31,336"
"Columbus, OH Metropolitan Statistical Area","28,999"
"Dayton-Kettering-Beavercreek, OH Metropolitan Statistical Area","8,820"
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area","2,569"
"Lima, OH Metropolitan Statistical Area",664
"Mansfield, OH Metropolitan Statistical Area",841
"Salem, OH Micropolitan Statistical Area",735
"Sandusky, OH Metropolitan Statistical Area","1,007"
"Springfield, OH Metropolitan Statistical Area","1,194"
"Toledo, OH Metropolitan Statistical Area","6,344"
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",862
"Wheeling, WV-OH Metropolitan Statistical Area","1,069"
"Wooster, OH Micropolitan Statistical Area",706
"Youngstown-Warren, OH Metropolitan Statistical Area","4,105"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
