Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Fort Smith, AR-OK Metropolitan Statistical Area","1,523"
"Lawton, OK Metropolitan Statistical Area","1,284"
"Oklahoma City, OK Metropolitan Statistical Area","15,385"
"Tulsa, OK Metropolitan Statistical Area","10,338"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
