Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Albany, OR Metropolitan Statistical Area","1,163"
"Bend, OR Metropolitan Statistical Area","2,732"
"Eugene-Springfield, OR Metropolitan Statistical Area","4,165"
"Medford, OR Metropolitan Statistical Area","2,207"
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","29,934"
"Roseburg, OR Micropolitan Statistical Area",973
"Salem, OR Metropolitan Statistical Area","3,979"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
