Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Aguadilla, PR Metropolitan Statistical Area",725
"Arecibo, PR Metropolitan Statistical Area",373
"Mayagüez, PR Metropolitan Statistical Area",520
"Ponce, PR Metropolitan Statistical Area",673
"San Juan-Bayamón-Caguas, PR Metropolitan Statistical Area","9,133"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
