Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Chattanooga, TN-GA Metropolitan Statistical Area","6,737"
"Clarksville, TN-KY Metropolitan Statistical Area","4,186"
"Cleveland, TN Metropolitan Statistical Area","1,046"
"Cookeville, TN Micropolitan Statistical Area","1,134"
"Jackson, TN Metropolitan Statistical Area","1,754"
"Johnson City, TN Metropolitan Statistical Area","1,912"
"Kingsport-Bristol, TN-VA Metropolitan Statistical Area","2,598"
"Knoxville, TN Metropolitan Statistical Area","8,856"
"Memphis, TN-MS-AR Metropolitan Statistical Area","25,046"
"Morristown, TN Metropolitan Statistical Area",916
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area","25,458"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
