Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Abilene, TX Metropolitan Statistical Area","1,462"
"Amarillo, TX Metropolitan Statistical Area","2,756"
"Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area","35,466"
"Beaumont-Port Arthur, TX Metropolitan Statistical Area","4,317"
"Brownsville-Harlingen, TX Metropolitan Statistical Area","2,352"
"College Station-Bryan, TX Metropolitan Statistical Area","2,472"
"Corpus Christi, TX Metropolitan Statistical Area","3,675"
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","159,709"
"El Paso, TX Metropolitan Statistical Area","10,479"
"Houston-Pasadena-The Woodlands, TX Metropolitan Statistical Area","136,239"
"Killeen-Temple, TX Metropolitan Statistical Area","8,395"
"Laredo, TX Metropolitan Statistical Area","1,591"
"Longview, TX Metropolitan Statistical Area","3,254"
"Lubbock, TX Metropolitan Statistical Area","6,424"
"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area","5,061"
"Midland, TX Metropolitan Statistical Area","2,247"
"Odessa, TX Metropolitan Statistical Area","3,103"
"San Angelo, TX Metropolitan Statistical Area",964
"San Antonio-New Braunfels, TX Metropolitan Statistical Area","36,765"
"Sherman-Denison, TX Metropolitan Statistical Area","1,383"
"Texarkana, TX-AR Metropolitan Statistical Area","1,324"
"Tyler, TX Metropolitan Statistical Area","2,909"
"Waco, TX Metropolitan Statistical Area","2,938"
"Wichita Falls, TX Metropolitan Statistical Area","1,504"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
