Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Logan, UT-ID Metropolitan Statistical Area",996
"Ogden, UT Metropolitan Statistical Area","5,324"
"Provo-Orem-Lehi, UT Metropolitan Statistical Area","5,697"
"Salt Lake City-Murray, UT Metropolitan Statistical Area","13,144"
"St. George, UT Metropolitan Statistical Area","1,625"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
