Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area","1,518"
"Charlottesville, VA Metropolitan Statistical Area","2,371"
"Danville, VA Micropolitan Statistical Area","1,025"
"Harrisonburg, VA Metropolitan Statistical Area",989
"Kingsport-Bristol, TN-VA Metropolitan Statistical Area","2,598"
"Lynchburg, VA Metropolitan Statistical Area","2,607"
"Richmond, VA Metropolitan Statistical Area","20,145"
"Roanoke, VA Metropolitan Statistical Area","3,674"
"Staunton-Stuarts Draft, VA Metropolitan Statistical Area",979
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metropolitan Statistical Area","28,077"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","109,978"
"Winchester, VA-WV Metropolitan Statistical Area","1,823"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
