Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Beckley, WV Metropolitan Statistical Area",967
"Charleston, WV Metropolitan Statistical Area","1,831"
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area","3,665"
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area","2,569"
"Morgantown, WV Metropolitan Statistical Area","1,280"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","109,978"
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",862
"Wheeling, WV-OH Metropolitan Statistical Area","1,069"
"Winchester, VA-WV Metropolitan Statistical Area","1,823"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
