Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,# of Reports
"Appleton, WI Metropolitan Statistical Area","1,773"
"Duluth, MN-WI Metropolitan Statistical Area","2,226"
"Eau Claire, WI Metropolitan Statistical Area","1,108"
"Fond du Lac, WI Metropolitan Statistical Area",805
"Green Bay, WI Metropolitan Statistical Area","2,496"
"Janesville-Beloit, WI Metropolitan Statistical Area","1,415"
"Kenosha, WI Metropolitan Statistical Area","1,532"
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area","1,142"
"Madison, WI Metropolitan Statistical Area","6,855"
"Milwaukee-Waukesha, WI Metropolitan Statistical Area","19,316"
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area","38,139"
"Oshkosh-Neenah, WI Metropolitan Statistical Area","1,306"
"Racine-Mount Pleasant, WI Metropolitan Statistical Area","1,911"
"Sheboygan, WI Metropolitan Statistical Area",851
"Wausau, WI Metropolitan Statistical Area",844
"Whitewater-Elkhorn, WI Micropolitan Statistical Area",728
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
