Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Flagstaff, AZ Metropolitan Statistical Area",206
"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",335
"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area","16,677"
"Prescott Valley-Prescott, AZ Metropolitan Statistical Area",427
"Show Low, AZ Micropolitan Statistical Area",141
"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",221
"Tucson, AZ Metropolitan Statistical Area","2,146"
"Yuma, AZ Metropolitan Statistical Area",309
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
