Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Fayetteville-Springdale-Rogers, AR Metropolitan Statistical Area",796
"Fort Smith, AR-OK Metropolitan Statistical Area",302
"Hot Springs, AR Metropolitan Statistical Area",172
"Jonesboro, AR Metropolitan Statistical Area",263
"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","2,641"
"Memphis, TN-MS-AR Metropolitan Statistical Area","5,502"
"Texarkana, TX-AR Metropolitan Statistical Area",317
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
