Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Bakersfield-Delano, CA Metropolitan Statistical Area","2,525"
"Chico, CA Metropolitan Statistical Area",382
"El Centro, CA Metropolitan Statistical Area",231
"Eureka-Arcata, CA Micropolitan Statistical Area",180
"Fresno, CA Metropolitan Statistical Area","3,235"
"Hanford-Corcoran, CA Metropolitan Statistical Area",301
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area","71,624"
"Merced, CA Metropolitan Statistical Area",482
"Modesto, CA Metropolitan Statistical Area","1,082"
"Napa, CA Metropolitan Statistical Area",214
"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area","1,837"
"Redding, CA Metropolitan Statistical Area",299
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","15,889"
"Sacramento-Roseville-Folsom, CA Metropolitan Statistical Area","6,483"
"Salinas, CA Metropolitan Statistical Area",555
"San Diego-Chula Vista-Carlsbad, CA Metropolitan Statistical Area","10,260"
"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","11,641"
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","4,515"
"San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",370
"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",385
"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",677
"Santa Rosa-Petaluma, CA Metropolitan Statistical Area",681
"Stockton-Lodi, CA Metropolitan Statistical Area","2,048"
"Truckee-Grass Valley, CA Micropolitan Statistical Area",136
"Vallejo, CA Metropolitan Statistical Area","1,278"
"Visalia, CA Metropolitan Statistical Area","1,186"
"Yuba City, CA Metropolitan Statistical Area",306
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
