Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Boulder, CO Metropolitan Statistical Area",677
"Colorado Springs, CO Metropolitan Statistical Area","1,692"
"Denver-Aurora-Centennial, CO Metropolitan Statistical Area","7,056"
"Fort Collins-Loveland, CO Metropolitan Statistical Area",588
"Grand Junction, CO Metropolitan Statistical Area",234
"Greeley, CO Metropolitan Statistical Area",641
"Pueblo, CO Metropolitan Statistical Area",298
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
