Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Bridgeport-Stamford-Danbury, CT Metropolitan Statistical Area","2,571"
"Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area","2,613"
"New Haven, CT Metropolitan Statistical Area","1,414"
"Norwich-New London-Willimantic, CT Metropolitan Statistical Area",498
"Torrington, CT Micropolitan Statistical Area",194
"Waterbury-Shelton, CT Metropolitan Statistical Area","1,061"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
