Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Dover, DE Metropolitan Statistical Area",663
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","28,438"
"Seaford, DE Micropolitan Statistical Area",525
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
