Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Cape Coral-Fort Myers, FL Metropolitan Statistical Area","2,727"
"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",586
"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area","1,998"
"Gainesville, FL Metropolitan Statistical Area",783
"Homosassa Springs, FL Metropolitan Statistical Area",290
"Jacksonville, FL Metropolitan Statistical Area","5,986"
"Lakeland-Winter Haven, FL Metropolitan Statistical Area","3,598"
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area","55,457"
"Naples-Marco Island, FL Metropolitan Statistical Area","1,402"
"North Port-Bradenton-Sarasota, FL Metropolitan Statistical Area","2,770"
"Ocala, FL Metropolitan Statistical Area","1,108"
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","15,099"
"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area","1,847"
"Panama City-Panama City Beach, FL Metropolitan Statistical Area",606
"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area","1,166"
"Port St. Lucie, FL Metropolitan Statistical Area","2,051"
"Punta Gorda, FL Metropolitan Statistical Area",452
"Sebastian-Vero Beach-West Vero Corridor, FL Metropolitan Statistical Area",518
"Sebring, FL Metropolitan Statistical Area",235
"Tallahassee, FL Metropolitan Statistical Area","1,417"
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","13,953"
"Wildwood-The Villages, FL Metropolitan Statistical Area",236
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
