Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Albany, GA Metropolitan Statistical Area",606
"Athens-Clarke County, GA Metropolitan Statistical Area",386
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","42,616"
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area","2,113"
"Brunswick-St. Simons, GA Metropolitan Statistical Area",217
"Chattanooga, TN-GA Metropolitan Statistical Area","1,135"
"Columbus, GA-AL Metropolitan Statistical Area","1,302"
"Dalton, GA Metropolitan Statistical Area",176
"Gainesville, GA Metropolitan Statistical Area",384
"LaGrange, GA-AL Micropolitan Statistical Area",453
"Macon-Bibb County, GA Metropolitan Statistical Area","1,079"
"Savannah, GA Metropolitan Statistical Area","1,801"
"Valdosta, GA Metropolitan Statistical Area",437
"Warner Robins, GA Metropolitan Statistical Area",669
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
