Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Boise City, ID Metropolitan Statistical Area","1,173"
"Coeur d'Alene, ID Metropolitan Statistical Area",224
"Idaho Falls, ID Metropolitan Statistical Area",242
"Logan, UT-ID Metropolitan Statistical Area",168
"Twin Falls, ID Metropolitan Statistical Area",129
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
