Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Bloomington, IL Metropolitan Statistical Area",318
"Champaign-Urbana, IL Metropolitan Statistical Area",611
"Chicago-Naperville-Elgin, IL-IN Metropolitan Statistical Area","37,486"
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",620
"Decatur, IL Metropolitan Statistical Area",186
"Kankakee, IL Metropolitan Statistical Area",419
"Ottawa, IL Micropolitan Statistical Area",171
"Paducah, KY-IL Metropolitan Statistical Area",184
"Peoria, IL Metropolitan Statistical Area",572
"Rockford, IL Metropolitan Statistical Area",968
"Springfield, IL Metropolitan Statistical Area",455
"St. Louis, MO-IL Metropolitan Statistical Area","7,242"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
