Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Bloomington, IN Metropolitan Statistical Area",205
"Chicago-Naperville-Elgin, IL-IN Metropolitan Statistical Area","37,486"
"Cincinnati, OH-KY-IN Metropolitan Statistical Area","4,477"
"Elkhart-Goshen, IN Metropolitan Statistical Area",228
"Evansville, IN Metropolitan Statistical Area",397
"Fort Wayne, IN Metropolitan Statistical Area",732
"Indianapolis-Carmel-Greenwood, IN Metropolitan Statistical Area","6,570"
"Lafayette-West Lafayette, IN Metropolitan Statistical Area",275
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","2,653"
"Michigan City-La Porte, IN Metropolitan Statistical Area",166
"Muncie, IN Metropolitan Statistical Area",134
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",475
"Terre Haute, IN Metropolitan Statistical Area",203
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
